,tissue,tissue_confi
SRR897843,LIVER,0.5786163
SRR650130,OTHER,0.724702
SRR959662,BONE MARROW,0.4381806
SRR897319,BRAIN,1.0
SRR897337,BRAIN,1.0
SRR896910,BRAIN,1.0
SRR1201864,BRAIN,0.35909006
ERR210957,BRAIN,0.9999491
SRR896687,LIVER,0.7667164
DRR014114,BONE MARROW,1.0
ERR502856,BONE MARROW,0.9999873
ERR519522,ESOPHAGUS,0.99862766
SRR546235,OTHER,0.9388608
SRR896718,LIVER,0.7849349
SRR959641,BRAIN,0.99977493
SRR1201681,LUNG,0.28800052
SRR896834,BRAIN,1.0
SRR898373,BRAIN,1.0
SRR1193105,BRAIN,0.9221212
ERR030867,OTHER,0.9999894
SRR1017527,BRAIN,0.10134908
SRR898449,BRAIN,1.0
SRR959730,BONE MARROW,0.48952278
SRR1201703,LUNG,0.33766845
SRR897636,BRAIN,1.0
SRR898400,BRAIN,1.0
SRR926649,BONE MARROW,0.65486896
SRR1201725,LUNG,0.31843668
SRR897272,BRAIN,1.0
SRR896980,BRAIN,1.0
SRR609428,BRAIN,1.0
ERR649060,SKIN,0.678244
SRR585570,STOMACH,1.0
SRR926695,LIVER,1.0
DRR029109,ESOPHAGUS,0.97240275
SRR897276,BRAIN,1.0
SRR896717,LIVER,0.7575867
ERR519488,ESOPHAGUS,0.97851884
ERR532576,PROSTATE,1.0
SRR897585,BRAIN,1.0
SRR897992,BRAIN,1.0
SRR1192072,BRAIN,0.8662728
SRR1216088,BRAIN,1.0
SRR1203808,BRAIN,0.98824227
ERR173258,PANCREAS,1.0
SRR896867,BRAIN,1.0
SRR1201695,LUNG,0.27189788
SRR897721,BRAIN,1.0
SRR896719,LIVER,0.7440938
SRR898178,BRAIN,1.0
SRR898410,BRAIN,1.0
SRR1721302,LUNG,0.9999998
ERR532557,PROSTATE,1.0
ERR532603,PROSTATE,1.0
SRR896961,BRAIN,1.0
SRR542351,BREAST,0.99997175
SRR1191915,BRAIN,0.9155718
SRR896730,LIVER,0.7110597
SRR897299,BRAIN,1.0
SRR896692,LIVER,0.7649789
SRR898013,BRAIN,1.0
SRR1203125,OTHER,0.78281915
SRR897599,BRAIN,1.0
SRR896701,LIVER,0.7145346
SRR361334,LIVER,1.0
SRR2166632,BRAIN,0.97366846
ERR519481,ESOPHAGUS,0.7526479
SRR897710,BRAIN,1.0
SRR897833,LIVER,0.6261217
SRR1216082,BRAIN,1.0
SRR1760946,BRAIN,0.99999446
SRR2166633,OTHER,0.98487586
