,tissue,tissue_confi
SRR546230,STOMACH,0.9999863
SRR633605,BREAST,0.99992216
SRR645162,LUNG,0.95514786
ERR519495,ESOPHAGUS,0.99999964
SRR898386,BRAIN,1.0
SRR1216066,BRAIN,0.9999998
DRR029113,ESOPHAGUS,0.99990356
SRR898385,BRAIN,1.0
SRR897284,BRAIN,1.0
SRR1721279,ADRENAL GLAND,1.0
SRR896907,BRAIN,1.0
SRR1202563,OVARY,0.9252733
SRR897333,BRAIN,1.0
SRR1201774,OVARY,0.9221913
SRR898369,BRAIN,1.0
SRR897972,BRAIN,1.0
ERR532547,PROSTATE,1.0
ERR649034,ESOPHAGUS,0.97271097
SRR387441,BONE MARROW,0.99885225
SRR898196,BRAIN,1.0
SRR633594,BREAST,0.999992
ERR833251,BONE MARROW,0.9991196
SRR546234,STOMACH,0.99393463
ERR532585,PROSTATE,1.0
SRR628230,TESTIS,0.9139328
SRR896953,BRAIN,1.0
ERR649036,ESOPHAGUS,0.99789304
SRR1216130,BRAIN,0.9999992
SRR896853,BRAIN,1.0
SRR1216119,BRAIN,0.9999998
SRR948093,BONE MARROW,0.99999964
SRR897927,BRAIN,1.0
SRR542379,BREAST,0.992568
SRR897596,BRAIN,1.0
SRR1767292,STOMACH,0.9660915
SRR542361,BREAST,0.9990633
DRR014114,BONE MARROW,1.0
SRR897957,BRAIN,0.9999999
SRR633575,BREAST,0.9996359
SRR1657553,ESOPHAGUS,1.0
SRR959610,BRAIN,0.95264673
ERR532581,PROSTATE,1.0
SRR898191,BRAIN,1.0
SRR959617,BRAIN,0.98862267
SRR633606,BREAST,0.99999917
SRR897660,BRAIN,1.0
SRR1156257,OVARY,0.9844264
SRR897936,BRAIN,0.9999999
SRR1201998,OVARY,0.9093021
SRR897959,BRAIN,1.0
ERR731518,LUNG,0.99992716
SRR1721284,KIDNEY,1.0
SRR898004,BRAIN,1.0
SRR959634,BRAIN,0.9605688
SRR897701,BRAIN,1.0
SRR959602,BRAIN,0.95517886
SRR897965,BRAIN,1.0
SRR1033775,OVARY,0.99999523
ERR1018460,BRAIN,1.0
SRR898025,BRAIN,1.0
SRR1216110,BRAIN,0.99995726
ERR532612,PROSTATE,1.0
SRR801427,STOMACH,0.9999997
SRR317096,STOMACH,0.98402023
SRR897608,BRAIN,1.0
SRR922455,BONE MARROW,0.99997485
SRR896880,BRAIN,1.0
SRR896957,BRAIN,1.0
SRR633586,BREAST,0.9999611
SRR066469,OVARY,0.9117422
SRR419389,ESOPHAGUS,0.9995376
SRR896888,BRAIN,0.9999999
SRR898491,BRAIN,1.0
ERR532584,PROSTATE,1.0
SRR897287,BRAIN,1.0
SRR897577,BRAIN,1.0
SRR898199,BRAIN,1.0
SRR387432,BONE MARROW,0.99947417
SRR1216127,BRAIN,0.9354224
SRR1649195,BONE MARROW,0.9986736
SRR896944,BRAIN,1.0
ERR649030,ESOPHAGUS,0.99999905
SRR014500,ADRENAL GLAND,0.98737735
SRR898182,BRAIN,1.0
ERR560453,BONE MARROW,0.99897015
SRR897603,BRAIN,1.0
SRR897260,BRAIN,1.0
ERR502853,BONE MARROW,0.99999064
SRR542366,BREAST,1.0
SRR959641,BRAIN,0.983771
SRR896883,BRAIN,0.9999999
SRR897300,BRAIN,1.0
ERR519473,ESOPHAGUS,0.99998534
ERR519500,ESOPHAGUS,0.99945813
ERR532606,PROSTATE,1.0
SRR898194,BRAIN,1.0
SRR317089,STOMACH,0.99644244
SRR897614,BRAIN,1.0
SRR896839,BRAIN,1.0
SRR1201692,OVARY,0.91091406
SRR834576,LIVER,1.0
SRR898485,BRAIN,1.0
SRR898223,BRAIN,1.0
ERR532608,PROSTATE,1.0
SRR897652,BRAIN,1.0
SRR1213775,STOMACH,0.94688606
ERR519517,KIDNEY,0.99901164
SRR1202298,OVARY,0.93918324
SRR542358,BREAST,1.0
SRR898479,BRAIN,1.0
SRR633584,SKIN,0.9997052
SRR896832,BRAIN,1.0
SRR898043,BRAIN,1.0
SRR948112,BONE MARROW,1.0
SRR959644,BRAIN,0.98831826
SRR387405,BONE MARROW,0.9998606
SRR1201705,OVARY,0.9068254
SRR898188,BRAIN,1.0
SRR898400,BRAIN,1.0
SRR1213776,STOMACH,0.98163396
SRR2925168,OVARY,0.9695374
SRR897715,BRAIN,1.0
SRR959638,BRAIN,0.93356496
SRR609424,BRAIN,1.0
SRR897340,BRAIN,1.0
SRR1216132,BRAIN,0.9998956
DRR014034,BONE MARROW,0.9389836
SRR897235,BRAIN,0.9999998
SRR546233,STOMACH,0.9999939
SRR633585,BREAST,0.9999983
ERR033745,BRAIN,1.0
SRR896849,BRAIN,1.0
ERR833236,BONE MARROW,0.99998295
SRR1596221,BONE MARROW,0.9999838
SRR898421,BRAIN,1.0
SRR897324,BRAIN,1.0
ERR833249,BONE MARROW,0.99995506
ERR649019,ESOPHAGUS,0.9714017
SRR633597,BREAST,0.99678934
SRR897700,BRAIN,1.0
SRR897606,BRAIN,0.9999999
SRR897216,BRAIN,0.99999964
SRR897286,BRAIN,1.0
SRR898012,BRAIN,1.0
SRR897935,BRAIN,1.0
SRR897920,BRAIN,1.0
SRR898183,BRAIN,1.0
SRR020730,KIDNEY,0.9999975
SRR611069,BRAIN,1.0
ERR519485,ESOPHAGUS,0.9999995
SRR896904,BRAIN,1.0
SRR387407,BONE MARROW,0.998561
ERR832542,BONE MARROW,0.9984638
SRR496582,PROSTATE,1.0
SRR926649,BONE MARROW,0.99994564
SRR897331,BRAIN,1.0
SRR545719,UTERUS,0.9499153
SRR898177,BRAIN,1.0
SRR1216098,BRAIN,1.0
SRR2969422,OVARY,0.9308734
SRR609429,BRAIN,1.0
SRR650184,ESOPHAGUS,0.9998558
SRR898179,BRAIN,1.0
SRR801432,STOMACH,0.9999053
SRR897277,BRAIN,1.0
ERR661165,BONE MARROW,0.9999871
SRR897945,BRAIN,0.9999999
SRR959605,BRAIN,0.9604829
SRR1202303,KIDNEY,0.9999908
SRR357412,LIVER,1.0
SRR948106,BONE MARROW,1.0
SRR898222,BRAIN,1.0
SRR633607,BREAST,0.99999917
SRR926653,BONE MARROW,0.99974644
ERR532597,PROSTATE,1.0
SRR897296,BRAIN,1.0
SRR898461,BRAIN,1.0
SRR959640,BRAIN,0.9809459
SRR825143,STOMACH,0.99998343
SRR020723,OVARY,0.98156106
SRR897966,BRAIN,1.0
SRR834577,LIVER,1.0
SRR650195,ESOPHAGUS,0.9999951
ERR594514,STOMACH,0.9998624
SRR898449,BRAIN,1.0
SRR897320,BRAIN,1.0
ERR519514,ESOPHAGUS,0.999997
SRR1213573,STOMACH,0.98685664
SRR633595,BREAST,0.9998714
ERR532556,PROSTATE,1.0
SRR898419,BRAIN,1.0
ERR532551,PROSTATE,1.0
ERR731495,LUNG,0.999802
SRR897307,BRAIN,1.0
SRR1216054,BRAIN,0.99999964
SRR970289,STOMACH,0.99394023
SRR570309,BONE MARROW,1.0
SRR897282,BRAIN,1.0
SRR897692,BRAIN,1.0
ERR661164,BONE MARROW,0.9999933
ERR833250,BONE MARROW,0.99995345
SRR897587,BRAIN,1.0
SRR897953,BRAIN,1.0
SRR897329,BRAIN,1.0
SRR896905,BRAIN,1.0
SRR898397,BRAIN,0.9999999
SRR897258,BRAIN,1.0
SRR896917,BRAIN,1.0
SRR897951,BRAIN,1.0
SRR959593,BRAIN,0.94770896
SRR959597,BRAIN,0.96022403
ERR210959,BRAIN,0.98938334
ERR210956,BRAIN,0.9947933
SRR546226,STOMACH,0.99995613
SRR1213740,STOMACH,0.98096764
SRR896941,BRAIN,1.0
SRR897921,BRAIN,1.0
SRR898444,BRAIN,1.0
SRR897225,BRAIN,0.9999998
SRR897583,BRAIN,1.0
SRR896946,BRAIN,1.0
SRR633600,BREAST,0.99992704
SRR897261,BRAIN,1.0
SRR1721305,LUNG,1.0
DRR029101,ESOPHAGUS,0.99955386
SRR317093,STOMACH,0.9832711
SRR897643,BRAIN,0.9999999
SRR419544,ESOPHAGUS,0.9990939
SRR542352,BREAST,1.0
SRR898039,BRAIN,1.0
SRR897570,BRAIN,1.0
SRR1216062,BRAIN,0.9999997
SRR1201831,KIDNEY,0.99465847
SRR898203,BRAIN,0.9999999
SRR1216114,BRAIN,0.99997026
ERR649063,ESOPHAGUS,0.99968135
SRR1216092,BRAIN,1.0
SRR898209,BRAIN,1.0
SRR959620,BRAIN,0.9946871
ERR532433,PROSTATE,1.0
SRR896861,BRAIN,1.0
SRR1201767,OVARY,0.926195
SRR898427,BRAIN,0.9999999
SRR837863,OVARY,0.9393342
ERR532548,PROSTATE,1.0
SRR926696,LIVER,1.0
SRR317097,STOMACH,0.9979023
ERR832537,BONE MARROW,0.9886033
SRR014499,KIDNEY,1.0
SRR542367,BREAST,0.99999106
SRR898437,BRAIN,1.0
SRR834566,LIVER,1.0
SRR898230,BRAIN,1.0
SRR897321,BRAIN,1.0
SRR897326,BRAIN,1.0
SRR1216064,BRAIN,0.9999998
SRR959598,BRAIN,0.9374918
SRR897695,BRAIN,1.0
SRR897724,BRAIN,1.0
SRR1657543,ESOPHAGUS,1.0
SRR897268,BRAIN,1.0
SRR897314,BRAIN,1.0
SRR1216105,BRAIN,1.0
SRR959630,BRAIN,0.9358594
ERR409745,BRAIN,1.0
ERR832548,BONE MARROW,0.9996362
SRR542399,BREAST,0.9999901
SRR896867,BRAIN,1.0
SRR628319,BRAIN,1.0
SRR834572,LIVER,1.0
SRR546236,STOMACH,0.9951402
ERR661156,BONE MARROW,0.99998
SRR1216056,BRAIN,0.9999994
SRR542402,BREAST,0.9999998
SRR1721310,STOMACH,0.99999905
SRR897290,BRAIN,1.0
SRR897633,BRAIN,1.0
ERR833233,BONE MARROW,0.9999812
ERR532587,PROSTATE,1.0
ERR649044,ESOPHAGUS,0.96808606
ERR649020,ESOPHAGUS,0.99035215
DRR014035,BONE MARROW,0.90161306
SRR896882,BRAIN,1.0
ERR532557,PROSTATE,1.0
SRR897982,BRAIN,0.9999999
ERR532442,PROSTATE,1.0
SRR633602,BREAST,0.99999774
SRR091691,BONE MARROW,0.9999999
SRR1657550,ESOPHAGUS,1.0
SRR896826,BRAIN,1.0
SRR922457,BONE MARROW,0.99999636
ERR594513,STOMACH,0.99998397
SRR897639,BRAIN,1.0
SRR896889,BRAIN,1.0
SRR896916,BRAIN,1.0
SRR896890,BRAIN,1.0
SRR897611,BRAIN,1.0
SRR897950,BRAIN,0.9999999
ERR519479,ESOPHAGUS,0.9983036
SRR898405,BRAIN,1.0
SRR959632,BRAIN,0.9082285
SRR898472,BRAIN,1.0
SRR896962,BRAIN,1.0
SRR897967,BRAIN,1.0
SRR1203132,OVARY,0.90735227
SRR896913,BRAIN,1.0
SRR1216113,BRAIN,0.9999978
SRR585571,STOMACH,0.999996
SRR542364,BREAST,1.0
SRR896848,BRAIN,1.0
SRR898442,BRAIN,1.0
SRR2166633,BONE MARROW,0.9952111
ERR649054,ESOPHAGUS,0.9261341
SRR897697,BRAIN,1.0
SRR897312,BRAIN,1.0
SRR542393,BREAST,0.99999017
SRR1721307,STOMACH,0.9965018
SRR897289,BRAIN,1.0
SRR834563,LIVER,1.0
SRR897676,BRAIN,1.0
SRR633604,BREAST,1.0
SRR1201698,OVARY,0.90032977
SRR1596223,BONE MARROW,0.9999987
ERR833223,BONE MARROW,0.9999139
SRR898460,BRAIN,1.0
SRR633561,BREAST,0.99998987
SRR897568,BRAIN,1.0
SRR898410,BRAIN,1.0
SRR897590,BRAIN,1.0
SRR897986,BRAIN,1.0
SRR898010,BRAIN,1.0
SRR1649193,BONE MARROW,0.997146
SRR387444,BONE MARROW,0.9973199
ERR210953,BRAIN,0.99998885
SRR1760944,BRAIN,0.9999445
SRR926689,LIVER,1.0
SRR650181,ESOPHAGUS,0.9759002
ERR833244,BONE MARROW,0.99964094
SRR897301,BRAIN,1.0
SRR1216097,BRAIN,1.0
ERR532573,PROSTATE,1.0
SRR898235,BRAIN,1.0
SRR897210,BRAIN,0.9999999
SRR898015,BRAIN,1.0
SRR897581,BRAIN,1.0
SRR896846,BRAIN,1.0
SRR896963,BRAIN,1.0
SRR1657555,ESOPHAGUS,1.0
SRR1721304,LUNG,1.0
SRR611070,BRAIN,1.0
SRR1201717,OVARY,0.92353946
SRR897939,BRAIN,1.0
SRR897199,BRAIN,0.9999999
SRR387426,BONE MARROW,0.99989
SRR898019,BRAIN,1.0
SRR1201828,KIDNEY,0.9961773
SRR896914,BRAIN,1.0
SRR896966,BRAIN,1.0
ERR532445,PROSTATE,1.0
SRR898457,BRAIN,1.0
SRR896982,BRAIN,1.0
SRR898224,BRAIN,1.0
SRR898477,BRAIN,1.0
SRR897997,BRAIN,1.0
SRR897999,BRAIN,1.0
ERR649023,ESOPHAGUS,0.9111892
ERR532560,PROSTATE,1.0
SRR1657548,ESOPHAGUS,1.0
SRR2149954,ESOPHAGUS,0.9999989
SRR959648,BRAIN,0.9906615
SRR834562,LIVER,1.0
SRR897299,BRAIN,1.0
SRR825140,STOMACH,0.9999903
SRR896961,BRAIN,1.0
SRR959633,BRAIN,0.9486119
SRR1216099,BRAIN,1.0
SRR826664,PANCREAS,0.99999124
SRR1213720,STOMACH,0.9717258
SRR1657551,ESOPHAGUS,1.0
SRR898389,BRAIN,0.9999999
ERR832555,BONE MARROW,0.98466074
SRR896945,BRAIN,1.0
SRR897971,BRAIN,1.0
SRR897703,BRAIN,1.0
SRR633564,BREAST,0.9999998
ERR532447,PROSTATE,1.0
SRR387428,BONE MARROW,0.9959365
ERR033743,BRAIN,0.9999973
ERR532554,PROSTATE,1.0
SRR898474,BRAIN,1.0
SRR649552,OVARY,0.90094393
SRR959621,BRAIN,0.9332736
SRR897335,BRAIN,1.0
ERR532580,PROSTATE,1.0
ERR532611,PROSTATE,1.0
SRR1657552,ESOPHAGUS,1.0
SRR546239,STOMACH,0.9998127
SRR897919,BRAIN,1.0
SRR896868,BRAIN,1.0
SRR959647,BRAIN,0.9906947
SRR1216087,BRAIN,1.0
SRR898200,BRAIN,1.0
SRR922454,BONE MARROW,0.99998176
DRR003596,OVARY,0.97892207
SRR897567,BRAIN,1.0
SRR542400,BREAST,1.0
SRR1201785,OVARY,0.900741
SRR650183,ESOPHAGUS,0.99993837
SRR898226,BRAIN,1.0
SRR897981,BRAIN,1.0
ERR532444,PROSTATE,1.0
SRR1213760,STOMACH,0.95883477
SRR542385,BREAST,1.0
SRR897574,BRAIN,1.0
SRR897669,BRAIN,1.0
SRR898445,BRAIN,1.0
SRR1216068,BRAIN,0.9999998
SRR897666,BRAIN,1.0
SRR898022,BRAIN,1.0
SRR898430,BRAIN,0.9999999
SRR897236,BRAIN,0.9999999
ERR210962,BRAIN,0.99369115
SRR825139,STOMACH,0.99999917
SRR1201694,OVARY,0.90760803
SRR898399,BRAIN,1.0
SRR922552,BONE MARROW,0.9999994
SRR898375,BRAIN,1.0
SRR897925,BRAIN,1.0
SRR2166636,BONE MARROW,0.9987092
SRR897678,BRAIN,1.0
SRR063981,BRAIN,1.0
SRR898452,BRAIN,1.0
ERR832556,BONE MARROW,0.9993822
ERR649070,ESOPHAGUS,0.9969114
ERR532563,PROSTATE,1.0
SRR897315,BRAIN,1.0
SRR1721282,ADRENAL GLAND,1.0
ERR649058,ESOPHAGUS,0.9999968
ERR649021,ESOPHAGUS,0.99999607
SRR1760948,BRAIN,0.9999933
SRR897302,BRAIN,1.0
SRR546587,KIDNEY,1.0
SRR897337,BRAIN,1.0
SRR898465,BRAIN,1.0
ERR832543,BONE MARROW,0.9983802
ERR519493,ESOPHAGUS,0.976178
SRR897623,BRAIN,1.0
SRR898214,BRAIN,1.0
ERR532592,PROSTATE,1.0
SRR317094,STOMACH,0.9802111
SRR897963,BRAIN,1.0
SRR897250,BRAIN,0.9999998
SRR350973,LIVER,1.0
SRR1216117,BRAIN,0.99998933
SRR2166634,BONE MARROW,0.99857104
SRR1201872,OVARY,0.9270129
SRR898187,BRAIN,1.0
SRR898408,BRAIN,1.0
SRR959629,BRAIN,0.9297261
SRR609423,BRAIN,1.0
SRR542401,BREAST,0.99999905
SRR898186,BRAIN,1.0
SRR926669,BONE MARROW,0.9999099
SRR896872,BRAIN,1.0
SRR926694,LIVER,1.0
SRR1767293,STOMACH,0.9829795
SRR898422,BRAIN,1.0
SRR898455,BRAIN,1.0
SRR1039806,BREAST,0.99501574
SRR959607,BRAIN,0.9575742
SRR897993,BRAIN,1.0
SRR897217,BRAIN,0.9999999
ERR649033,ESOPHAGUS,0.99975795
SRR897996,BRAIN,1.0
SRR896879,BRAIN,1.0
SRR1201680,OVARY,0.9042759
ERR833258,BONE MARROW,0.9987998
SRR1216061,BRAIN,0.9999998
SRR542381,BREAST,0.999852
SRR896919,BRAIN,1.0
SRR898042,BRAIN,1.0
SRR896925,BRAIN,1.0
SRR897662,BRAIN,1.0
SRR897721,BRAIN,1.0
SRR896837,BRAIN,1.0
SRR897707,BRAIN,1.0
SRR896936,BRAIN,1.0
SRR898434,BRAIN,1.0
SRR897586,BRAIN,1.0
ERR649039,ESOPHAGUS,0.99740255
SRR897252,BRAIN,0.9999998
SRR1216065,BRAIN,0.9999997
SRR898206,BRAIN,1.0
ERR832552,BONE MARROW,0.98398364
SRR948117,BONE MARROW,1.0
SRR897960,BRAIN,1.0
SRR897270,BRAIN,1.0
SRR959604,BRAIN,0.96085596
SRR1201695,OVARY,0.9083456
SRR1201865,OVARY,0.9111514
ERR532609,PROSTATE,0.9999999
SRR896915,BRAIN,1.0
SRR948096,BONE MARROW,0.9999975
SRR898423,BRAIN,1.0
SRR1201830,KIDNEY,0.99642676
SRR897571,BRAIN,1.0
SRR926695,LIVER,1.0
ERR731507,LUNG,0.9997307
ERR833255,BONE MARROW,0.9988254
SRR897719,BRAIN,1.0
ERR832553,BONE MARROW,0.98394805
ERR863547,LIVER,1.0
SRR896886,BRAIN,1.0
SRR542363,BREAST,0.98504055
SRR609427,BRAIN,1.0
SRR922458,BONE MARROW,0.9999939
SRR896906,BRAIN,1.0
ERR519494,KIDNEY,0.99999636
SRR1216078,BRAIN,0.9999995
SRR897685,BRAIN,1.0
SRR2557088,BRAIN,1.0
ERR519491,ESOPHAGUS,0.9998906
ERR833254,BONE MARROW,0.999022
SRR1201786,OVARY,0.9035715
SRR1767291,STOMACH,0.96162015
SRR897342,BRAIN,1.0
SRR959645,BRAIN,0.98604345
SRR897213,BRAIN,0.9999997
ERR661157,BONE MARROW,0.99997103
SRR897640,BRAIN,1.0
SRR633568,BREAST,0.99999505
ERR661159,BONE MARROW,0.9999851
ERR833246,BONE MARROW,0.9996387
SRR898041,BRAIN,1.0
ERR661162,BONE MARROW,0.9999744
ERR661161,BONE MARROW,0.9999792
SRR897954,BRAIN,1.0
SRR1721296,STOMACH,0.99986
SRR897569,BRAIN,1.0
SRR1216074,BRAIN,0.99999964
SRR1201702,OVARY,0.92298615
SRR627777,BREAST,0.91483897
SRR387440,BONE MARROW,0.9994787
SRR898185,BRAIN,1.0
SRR898013,BRAIN,1.0
SRR387404,BONE MARROW,0.9999882
ERR649071,ESOPHAGUS,0.9999591
SRR948107,BONE MARROW,0.99999636
ERR519488,ESOPHAGUS,0.9735246
SRR897241,BRAIN,0.9999999
SRR897264,BRAIN,0.9999999
ERR833257,BONE MARROW,0.99875194
ERR409743,BRAIN,1.0
SRR020726,OVARY,0.95038813
SRR897681,BRAIN,1.0
SRR1201827,KIDNEY,0.9944706
ERR833229,BONE MARROW,0.99827707
SRR1201768,OVARY,0.92197275
ERR661158,BONE MARROW,0.9999749
ERR033746,BRAIN,1.0
SRR2166637,BONE MARROW,0.99998444
SRR628225,LUNG,1.0
SRR898175,BRAIN,1.0
ERR833225,BONE MARROW,0.999928
SRR898481,BRAIN,1.0
SRR896910,BRAIN,1.0
SRR897990,BRAIN,1.0
SRR1216067,BRAIN,0.9999998
SRR896855,BRAIN,1.0
ERR532562,PROSTATE,1.0
SRR1721283,ADRENAL GLAND,1.0
SRR1201723,OVARY,0.92732507
SRR896938,BRAIN,1.0
SRR897248,BRAIN,0.9999999
SRR317092,STOMACH,0.98239374
SRR897220,BRAIN,0.9999998
SRR897708,BRAIN,1.0
SRR926656,BONE MARROW,0.99993867
SRR926657,BONE MARROW,0.99994916
SRR897657,BRAIN,1.0
SRR1201727,OVARY,0.92745733
SRR1201704,OVARY,0.91655314
ERR833253,BONE MARROW,0.99915916
SRR897575,BRAIN,1.0
SRR546232,STOMACH,0.999946
ERR532438,PROSTATE,1.0
SRR2081137,PROSTATE,1.0
SRR650180,ESOPHAGUS,0.98852885
SRR897946,BRAIN,1.0
SRR897243,BRAIN,0.9999998
ERR519472,ESOPHAGUS,0.9045639
SRR898178,BRAIN,1.0
SRR897298,BRAIN,1.0
SRR542348,BREAST,0.9996611
SRR896950,BRAIN,1.0
SRR896874,BRAIN,1.0
SRR897694,BRAIN,1.0
SRR898379,BRAIN,1.0
SRR970143,STOMACH,0.996724
ERR519497,SKIN,0.9988257
SRR542386,BREAST,1.0
SRR1721299,KIDNEY,1.0
ERR210967,BRAIN,0.996013
ERR532435,PROSTATE,1.0
ERR519474,ESOPHAGUS,0.999714
ERR532591,PROSTATE,1.0
SRR898000,BRAIN,1.0
SRR896949,BRAIN,1.0
SRR1657544,ESOPHAGUS,1.0
ERR731494,LUNG,0.9999219
SRR542370,BREAST,1.0
ERR210966,BRAIN,0.9894148
ERR649026,ESOPHAGUS,0.9949805
SRR014494,BRAIN,1.0
SRR898440,BRAIN,1.0
SRR898454,BRAIN,1.0
SRR896843,BRAIN,1.0
SRR897599,BRAIN,1.0
SRR896857,BRAIN,1.0
SRR898494,BRAIN,1.0
ERR661163,BONE MARROW,0.9999903
SRR609430,BRAIN,1.0
SRR801431,STOMACH,0.9998539
SRR898447,BRAIN,1.0
SRR896928,BRAIN,1.0
SRR1216071,BRAIN,0.9999998
SRR896923,BRAIN,1.0
SRR014493,BRAIN,1.0
SRR897679,BRAIN,1.0
SRR898436,BRAIN,1.0
SRR645161,ESOPHAGUS,0.98216945
SRR387435,BONE MARROW,0.9999151
ERR532604,PROSTATE,1.0
SRR948113,BONE MARROW,1.0
SRR897691,BRAIN,1.0
SRR633596,BREAST,0.99998677
ERR922709,PROSTATE,0.99999875
SRR898176,BRAIN,0.9999999
ERR832544,BONE MARROW,0.9993579
SRR1201792,OVARY,0.90105945
SRR387430,BONE MARROW,0.99768925
SRR959637,BRAIN,0.93216497
SRR926700,LIVER,1.0
SRR926660,BONE MARROW,0.9998337
SRR897698,BRAIN,1.0
SRR873437,BRAIN,0.97495383
SRR897617,BRAIN,1.0
SRR922460,BONE MARROW,0.99999934
ERR532572,PROSTATE,1.0
ERR210954,BRAIN,0.9625497
SRR546581,KIDNEY,1.0
ERR649053,ESOPHAGUS,0.99718285
SRR897253,BRAIN,0.9999998
SRR897271,BRAIN,1.0
SRR922459,BONE MARROW,0.99998444
SRR2166628,BONE MARROW,0.9970293
SRR897948,BRAIN,1.0
SRR898221,BRAIN,1.0
SRR317091,STOMACH,0.99484414
SRR896922,BRAIN,1.0
SRR545687,BONE MARROW,0.99974
SRR896892,BRAIN,0.9999999
SRR1201721,OVARY,0.93805426
ERR863545,LIVER,1.0
SRR542383,BREAST,0.99981344
SRR898005,BRAIN,1.0
SRR898227,BRAIN,1.0
SRR897257,BRAIN,1.0
SRR898404,BRAIN,1.0
SRR926691,LIVER,1.0
SRR1521210,OVARY,0.96310824
SRR387436,BONE MARROW,0.9985256
SRR1201798,OVARY,0.9125246
SRR897582,BRAIN,1.0
SRR1575099,BONE MARROW,0.99999857
SRR611067,BRAIN,1.0
SRR649550,OVARY,0.9015697
SRR898393,BRAIN,0.9999999
SRR897234,BRAIN,0.9999999
SRR1201690,OVARY,0.9572584
SRR959612,BRAIN,0.97138137
SRR959642,BRAIN,0.98187053
SRR1216096,BRAIN,1.0
SRR570308,BONE MARROW,1.0
SRR420188,ESOPHAGUS,0.99988425
SRR1521206,OVARY,0.9851748
SRR898189,BRAIN,1.0
SRR897629,BRAIN,1.0
SRR542356,BREAST,0.998253
SRR896930,BRAIN,1.0
SRR633581,BREAST,0.9999997
SRR1201731,OVARY,0.9265102
SRR897642,BRAIN,1.0
SRR897672,BRAIN,1.0
SRR922550,BONE MARROW,0.99999225
SRR897338,BRAIN,1.0
SRR628320,BRAIN,1.0
SRR609428,BRAIN,1.0
SRR1201716,OVARY,0.9152937
SRR896862,BRAIN,1.0
SRR897716,BRAIN,1.0
SRR897328,BRAIN,1.0
SRR897712,BRAIN,1.0
ERR833240,BONE MARROW,0.9999874
SRR357437,LIVER,1.0
SRR834567,LIVER,1.0
ERR833242,BONE MARROW,0.99998665
SRR1201713,OVARY,0.91883165
ERR519469,ESOPHAGUS,1.0
SRR959616,BRAIN,0.9918491
ERR532586,PROSTATE,1.0
SRR1156273,OVARY,0.9818851
SRR948115,BONE MARROW,1.0
ERR649024,KIDNEY,0.9992242
SRR896909,BRAIN,1.0
SRR926698,LIVER,1.0
SRR1216111,BRAIN,0.99998933
SRR897621,BRAIN,1.0
ERR532443,PROSTATE,1.0
SRR897974,BRAIN,1.0
ERR833220,BONE MARROW,0.9999653
SRR898037,BRAIN,1.0
SRR898467,BRAIN,1.0
SRR837862,OVARY,0.9479914
SRR1721292,STOMACH,0.99510604
SRR897316,BRAIN,1.0
SRR896838,BRAIN,1.0
ERR502854,BONE MARROW,0.9999856
SRR897975,BRAIN,1.0
SRR896884,BRAIN,1.0
SRR898488,BRAIN,1.0
SRR542398,BREAST,1.0
SRR897197,BRAIN,0.9999999
SRR1201772,OVARY,0.91579163
SRR896836,BRAIN,1.0
SRR897704,BRAIN,1.0
SRR922453,BONE MARROW,0.99998534
SRR897585,BRAIN,1.0
SRR898238,BRAIN,1.0
SRR897938,BRAIN,1.0
SRR897995,BRAIN,1.0
SRR1216091,BRAIN,1.0
SRR948102,BONE MARROW,1.0
SRR896891,BRAIN,1.0
SRR1596222,BONE MARROW,0.9999733
SRR633565,BREAST,1.0
SRR898382,BRAIN,1.0
ERR532570,PROSTATE,1.0
SRR896973,BRAIN,1.0
SRR896885,BRAIN,1.0
SRR896958,BRAIN,1.0
SRR896842,BRAIN,1.0
DRR029105,ESOPHAGUS,0.99973905
SRR896900,BRAIN,1.0
SRR898381,BRAIN,1.0
SRR896921,BRAIN,1.0
SRR897961,BRAIN,1.0
SRR898388,BRAIN,1.0
SRR897229,BRAIN,0.9999999
SRR896898,BRAIN,1.0
SRR542372,BREAST,0.99999875
SRR420187,ESOPHAGUS,0.99984723
SRR897245,BRAIN,0.9999998
SRR896824,BRAIN,1.0
ERR832547,BONE MARROW,0.9993221
ERR532598,PROSTATE,1.0
SRR898432,BRAIN,1.0
SRR897219,BRAIN,0.9999998
SRR1201782,OVARY,0.9038445
SRR896981,BRAIN,1.0
SRR897636,BRAIN,0.9999999
SRR1760947,KIDNEY,0.9328225
SRR926661,BONE MARROW,0.9998738
SRR897637,BRAIN,0.9999998
SRR317090,STOMACH,0.994985
SRR897615,BRAIN,1.0
SRR898438,BRAIN,1.0
SRR633588,BREAST,0.99999887
SRR897723,BRAIN,1.0
SRR897251,BRAIN,0.9999998
SRR897693,BRAIN,1.0
SRR419385,ESOPHAGUS,0.9983519
ERR833222,BONE MARROW,0.99996424
ERR519470,ESOPHAGUS,1.0
ERR532595,PROSTATE,1.0
ERR833245,BONE MARROW,0.9996187
SRR897980,BRAIN,1.0
SRR898211,BRAIN,1.0
SRR633599,BREAST,0.99988997
SRR898370,BRAIN,1.0
SRR959622,BRAIN,0.9434184
SRR898439,BRAIN,1.0
SRR897934,BRAIN,1.0
SRR924528,BONE MARROW,0.9155879
SRR897230,BRAIN,0.9999998
SRR834575,LIVER,1.0
SRR897584,BRAIN,1.0
ERR502858,BONE MARROW,0.9999865
