,ss,ss_confi
SRR547981,OTHER,0.99169225
SRR547982,OTHER,0.9741305
SRR547983,OTHER,0.9992164
SRR547989,OTHER,0.9990736
SRR547990,OTHER,0.9994682
SRR547991,OTHER,0.9999356
SRR547992,OTHER,0.97827226
SRR801424,TISSUE,0.9996092
SRR801425,TISSUE,0.9789211
SRR801426,TISSUE,0.990629
SRR801427,TISSUE,0.99959123
SRR801428,TISSUE,0.9999424
SRR801429,TISSUE,0.99952257
SRR801430,TISSUE,0.9999401
SRR801431,TISSUE,0.99968946
SRR801432,TISSUE,0.99955875
SRR801433,TISSUE,0.9998767
ERR519515,TISSUE,0.980183
ERR519516,TISSUE,0.9359478
ERR519520,TISSUE,0.99716365
ERR519513,TISSUE,0.9508296
ERR519481,TISSUE,0.98506165
ERR519491,TISSUE,0.9709007
ERR519473,TISSUE,0.9170497
ERR519518,TISSUE,0.99418867
ERR519512,TISSUE,0.98614895
ERR519521,TISSUE,0.9254964
ERR519488,TISSUE,0.98842955
ERR519493,TISSUE,0.97874004
ERR519514,TISSUE,0.94448566
ERR519479,TISSUE,0.9782626
ERR519509,TISSUE,0.9940742
ERR519472,TISSUE,0.872548
ERR519510,TISSUE,0.939576
ERR519470,TISSUE,0.9954027
ERR519495,TISSUE,0.9459399
ERR519522,TISSUE,0.97266006
ERR519523,TISSUE,0.9665297
ERR519503,TISSUE,0.9971465
ERR519471,TISSUE,0.97255385
ERR519500,TISSUE,0.97820365
ERR519485,TISSUE,0.86913633
ERR519476,TISSUE,0.73564947
ERR519502,TISSUE,0.94852364
ERR519486,TISSUE,0.8263402
ERR519478,TISSUE,0.995852
ERR519497,TISSUE,0.9919734
ERR519467,TISSUE,0.9965623
ERR519489,TISSUE,0.92632663
ERR519494,TISSUE,0.89312446
ERR519474,TISSUE,0.95153916
ERR519505,TISSUE,0.9895412
ERR519517,TISSUE,0.9023851
ERR519484,TISSUE,0.97083586
ERR519498,TISSUE,0.958803
ERR519490,TISSUE,0.9847182
ERR519507,TISSUE,0.96381027
ERR519511,TISSUE,0.9552043
ERR519468,TISSUE,0.99166214
ERR519482,TISSUE,0.9966896
ERR519475,OTHER,0.56020105
ERR519496,TISSUE,0.99806625
ERR519506,TISSUE,0.9871086
ERR519469,TISSUE,0.99567205
ERR519480,TISSUE,0.99393207
ERR519487,TISSUE,0.87018144
ERR519483,TISSUE,0.9801834
ERR519477,OTHER,0.6929876
ERR519499,TISSUE,0.8321729
ERR863501,OTHER,0.99915683
ERR863502,OTHER,0.9988519
ERR863503,OTHER,0.9991881
ERR863504,OTHER,0.9996721
ERR863505,OTHER,0.99971753
ERR863506,OTHER,0.9996274
ERR863507,OTHER,0.9995165
ERR863508,OTHER,0.99958974
ERR863509,OTHER,0.9993783
ERR863510,OTHER,0.999406
ERR863511,OTHER,0.9996188
ERR863512,OTHER,0.99934137
ERR863513,OTHER,0.99949664
ERR863514,OTHER,0.99955064
ERR863515,OTHER,0.9994518
ERR863516,OTHER,0.9996503
ERR863517,OTHER,0.99971074
ERR863518,OTHER,0.9997212
ERR863519,OTHER,0.9995476
ERR863520,OTHER,0.9994612
ERR863521,OTHER,0.9995779
ERR863522,OTHER,0.9993704
ERR863523,OTHER,0.99965906
ERR863524,OTHER,0.9997166
ERR863525,OTHER,0.9991495
ERR863526,OTHER,0.9995488
ERR863527,OTHER,0.9994009
ERR863528,OTHER,0.9994281
ERR863529,OTHER,0.9993458
ERR863530,OTHER,0.99967206
ERR863531,OTHER,0.9994875
ERR863532,OTHER,0.9995643
ERR863533,OTHER,0.9996063
ERR863534,OTHER,0.9997177
ERR863535,OTHER,0.9996951
ERR863536,OTHER,0.99967176
ERR863537,OTHER,0.7734604
ERR863538,OTHER,0.7756203
ERR863539,OTHER,0.7990021
ERR863540,OTHER,0.8274843
ERR863541,OTHER,0.59230125
ERR863542,OTHER,0.5928439
ERR863543,OTHER,0.6090024
ERR863544,OTHER,0.5829735
ERR863545,TISSUE,0.5984047
ERR863546,TISSUE,0.5729559
ERR863547,TISSUE,0.5482713
ERR863548,TISSUE,0.58064306
SRR1698142,TISSUE,0.9992768
SRR2557088,TISSUE,0.8937197
SRR387392,OTHER,0.937596
SRR387393,OTHER,0.9917084
SRR387394,OTHER,0.9987345
SRR387293,OTHER,0.9999793
SRR387395,OTHER,0.9997492
SRR387396,OTHER,0.9939841
SRR387397,OTHER,0.99980056
SRR387398,OTHER,0.9923943
SRR387399,OTHER,0.99805784
SRR387400,OTHER,0.999864
SRR387401,OTHER,0.9900522
SRR387402,OTHER,0.97986174
SRR387403,OTHER,0.99043655
SRR387404,TISSUE,0.98780906
SRR387405,TISSUE,0.9921092
SRR387407,TISSUE,0.98414993
SRR387418,TISSUE,0.9935905
SRR387426,TISSUE,0.94733953
SRR387427,TISSUE,0.911358
SRR387428,TISSUE,0.8421146
SRR387429,TISSUE,0.9926526
SRR387430,TISSUE,0.9616364
SRR387431,TISSUE,0.9541899
SRR387432,TISSUE,0.94728625
SRR387433,TISSUE,0.96671784
SRR387434,TISSUE,0.96598625
SRR387435,TISSUE,0.962383
SRR387436,TISSUE,0.93688965
SRR387437,TISSUE,0.9609517
SRR387438,TISSUE,0.98037845
SRR387439,TISSUE,0.91775435
SRR387440,TISSUE,0.95720655
SRR387441,TISSUE,0.94637424
SRR387442,TISSUE,0.9683083
SRR387443,TISSUE,0.957205
SRR387444,TISSUE,0.9546364
SRR387445,TISSUE,0.9648841
SRR387446,TISSUE,0.9798707
SRR387447,TISSUE,0.9672719
SRR387448,TISSUE,0.92404175
ERR833219,TISSUE,0.9049574
ERR833220,TISSUE,0.9037758
ERR833221,TISSUE,0.91827136
ERR833222,TISSUE,0.91835564
ERR833223,TISSUE,0.9177483
ERR833224,TISSUE,0.9203192
ERR833225,TISSUE,0.9177011
ERR833226,TISSUE,0.9129524
ERR833227,TISSUE,0.87350386
ERR833228,TISSUE,0.8745333
ERR833229,TISSUE,0.86601907
ERR833230,TISSUE,0.8689144
ERR833231,TISSUE,0.76907706
ERR833232,TISSUE,0.7494389
ERR833233,TISSUE,0.7633516
ERR833234,TISSUE,0.7623665
ERR833235,TISSUE,0.939905
ERR833236,TISSUE,0.92624885
ERR833237,TISSUE,0.9230037
ERR833238,TISSUE,0.9247367
ERR833239,TISSUE,0.9612805
ERR833240,TISSUE,0.95209897
ERR833241,TISSUE,0.96046305
ERR833242,TISSUE,0.9557667
ERR833243,TISSUE,0.957394
ERR833244,TISSUE,0.95320046
ERR833245,TISSUE,0.9556489
ERR833246,TISSUE,0.95269775
ERR833247,TISSUE,0.96001923
ERR833248,TISSUE,0.96063054
ERR833249,TISSUE,0.9594367
ERR833250,TISSUE,0.9574825
ERR833251,TISSUE,0.9446747
ERR833252,TISSUE,0.9396054
ERR833253,TISSUE,0.9429619
ERR833254,TISSUE,0.9411844
ERR833255,TISSUE,0.92266303
ERR833256,TISSUE,0.92212486
ERR833257,TISSUE,0.92953205
ERR833258,TISSUE,0.92144716
SRR420199,OTHER,0.9880036
SRR449431,OTHER,0.99501574
SRR420201,OTHER,0.9731593
SRR449291,OTHER,0.99707925
SRR423929,OTHER,0.9950959
SRR449293,OTHER,0.99986756
SRR449292,OTHER,0.99978065
SRR423962,OTHER,0.9772188
SRR449432,OTHER,0.9969491
SRR424182,OTHER,0.9793895
SRR449304,OTHER,0.99896574
SRR424332,OTHER,0.99093854
SRR449303,OTHER,0.99978006
SRR1721279,TISSUE,0.99889994
SRR1721280,TISSUE,0.9992323
SRR1721281,TISSUE,0.99885017
SRR1721282,TISSUE,0.99862653
SRR1721283,TISSUE,0.99980175
SRR1721284,TISSUE,0.9925124
SRR1721285,TISSUE,0.9975878
SRR1721286,TISSUE,0.9996247
SRR1721287,TISSUE,0.99984914
SRR1721288,TISSUE,0.9995421
SRR1721289,TISSUE,0.9995465
SRR1721290,TISSUE,0.9991956
SRR1721291,TISSUE,0.98698634
SRR1721292,TISSUE,0.99645823
SRR1721293,TISSUE,0.9989649
SRR1721294,TISSUE,0.99977267
SRR1721295,TISSUE,0.9999493
SRR1721296,TISSUE,0.99990195
SRR1721297,TISSUE,0.9999871
SRR1721298,TISSUE,0.9951804
SRR1721299,TISSUE,0.9996449
SRR1721300,TISSUE,0.99996555
SRR1721301,TISSUE,0.96375114
SRR1721302,TISSUE,0.9808539
SRR1721303,TISSUE,0.9980925
SRR1721304,TISSUE,0.9975486
SRR1721305,TISSUE,0.99632055
SRR1721306,TISSUE,0.99905646
SRR1721307,TISSUE,0.9992016
SRR1721308,TISSUE,0.99586594
SRR1721309,TISSUE,0.9998638
SRR1721310,TISSUE,0.99995553
SRR1721311,TISSUE,0.9999343
SRR1721312,TISSUE,0.99993265
SRR1721313,TISSUE,0.99992955
ERR731440,OTHER,0.99811715
ERR731444,OTHER,0.9978504
ERR731446,OTHER,0.99922323
ERR731463,OTHER,0.94049466
ERR731467,OTHER,0.9303511
ERR731464,OTHER,0.96004504
ERR731468,OTHER,0.9616159
ERR731465,OTHER,0.97504425
ERR731469,OTHER,0.97719175
ERR731466,OTHER,0.98146707
ERR731470,OTHER,0.9781138
ERR731448,OTHER,0.99755764
ERR731452,OTHER,0.9974554
ERR731454,OTHER,0.9990009
ERR731455,OTHER,0.9784585
ERR731459,OTHER,0.97735673
ERR731456,OTHER,0.98891985
ERR731457,OTHER,0.9879364
ERR731461,OTHER,0.98738897
ERR731458,OTHER,0.98928946
ERR731462,OTHER,0.99021465
ERR737803,OTHER,0.99732673
ERR737807,OTHER,0.99688023
ERR737805,OTHER,0.9984225
ERR737809,OTHER,0.9986723
ERR737786,OTHER,0.985552
ERR737790,OTHER,0.9809262
ERR737787,OTHER,0.97661746
ERR737791,OTHER,0.9786369
ERR737788,OTHER,0.98943454
ERR737792,OTHER,0.9865597
ERR737789,OTHER,0.9903576
ERR737793,OTHER,0.99033105
ERR731450,OTHER,0.99901533
ERR894734,OTHER,0.94720966
ERR894735,OTHER,0.8596245
ERR894736,OTHER,0.66716516
ERR894737,OTHER,0.95000964
ERR894738,OTHER,0.75225794
ERR894739,OTHER,0.95241755
ERR894740,OTHER,0.94601744
ERR894741,OTHER,0.8634938
ERR894742,OTHER,0.9457947
ERR894743,OTHER,0.8522909
ERR894744,OTHER,0.813753
ERR894745,OTHER,0.8629316
ERR894746,OTHER,0.64450985
ERR894747,OTHER,0.9763442
ERR894748,OTHER,0.906054
ERR894749,OTHER,0.85265505
ERR894750,OTHER,0.96533966
ERR894751,OTHER,0.93961126
ERR894752,OTHER,0.81947577
ERR894753,OTHER,0.97521
ERR894754,OTHER,0.76536286
ERR894755,OTHER,0.9715406
ERR894756,OTHER,0.9478081
ERR894757,OTHER,0.84449196
ERR894758,OTHER,0.9785614
ERR894759,OTHER,0.939895
ERR894760,OTHER,0.81007224
ERR894761,OTHER,0.9808346
ERR894762,OTHER,0.8168081
ERR894763,OTHER,0.97662365
ERR894764,OTHER,0.962049
ERR894765,OTHER,0.7497156
SRR1975505,OTHER,0.9999819
SRR1213847,TISSUE,0.99731004
SRR1213816,TISSUE,0.9977223
SRR1213848,TISSUE,0.9969679
SRR1213568,TISSUE,0.9994842
SRR1213698,TISSUE,0.9997072
SRR1213712,TISSUE,0.99983346
SRR1213743,TISSUE,0.9993107
SRR1213725,TISSUE,0.9998827
SRR1213699,TISSUE,0.9995815
SRR1213724,TISSUE,0.99834263
SRR1213702,TISSUE,0.99920833
SRR1213741,TISSUE,0.9980689
SRR1213797,TISSUE,0.99807197
SRR1213729,TISSUE,0.99895066
SRR1213742,TISSUE,0.99778366
SRR1213834,TISSUE,0.9999336
SRR1213838,TISSUE,0.99994373
SRR1213572,TISSUE,0.9999913
SRR1213573,TISSUE,0.99999124
SRR1213580,TISSUE,0.99999917
SRR1213739,TISSUE,0.99999774
SRR1213776,TISSUE,0.9999994
SRR1213728,TISSUE,0.9999963
SRR1213720,TISSUE,0.9999921
SRR1213726,TISSUE,0.9999854
SRR1213721,TISSUE,0.9999933
SRR1213775,TISSUE,0.99995697
SRR1213760,TISSUE,0.9999552
SRR1213740,TISSUE,0.9999914
SRR926673,OTHER,0.9999124
SRR926674,OTHER,0.99676406
SRR926675,OTHER,0.9999301
SRR926676,OTHER,0.99993694
SRR926677,OTHER,0.9999361
SRR926678,OTHER,0.9999307
SRR926679,OTHER,0.9995694
SRR926680,OTHER,0.9970358
SRR926681,OTHER,0.9996339
SRR926682,OTHER,0.99958384
SRR926683,OTHER,0.9994958
SRR926684,OTHER,0.9995427
SRR926685,TISSUE,0.98923
SRR926686,TISSUE,0.94406337
SRR926687,TISSUE,0.9529233
SRR926688,TISSUE,0.98638165
SRR926689,TISSUE,0.9779397
SRR926690,TISSUE,0.9631233
SRR926691,TISSUE,0.9613837
SRR926692,TISSUE,0.97206545
SRR926693,TISSUE,0.98706025
SRR926694,TISSUE,0.9534997
SRR926695,TISSUE,0.95309275
SRR926696,TISSUE,0.9832492
SRR926697,TISSUE,0.91979647
SRR926698,TISSUE,0.61915433
SRR926699,TISSUE,0.61673534
SRR926700,TISSUE,0.89531136
DRR016694,OTHER,0.99962884
DRR016695,OTHER,0.9995123
DRR016696,OTHER,0.9999939
DRR016697,OTHER,0.99977714
DRR016698,OTHER,0.99992144
DRR016699,OTHER,0.9998948
DRR016700,OTHER,0.99938166
DRR016701,OTHER,0.99983615
DRR016702,OTHER,0.9998956
DRR016703,OTHER,0.9991215
DRR016704,OTHER,0.99971884
DRR016705,OTHER,0.9999806
DRR016706,OTHER,0.99984103
DRR016707,OTHER,0.9999862
DRR016708,OTHER,0.99999124
DRR016709,OTHER,0.9998722
DRR016710,OTHER,0.9990155
DRR016711,OTHER,0.99976885
DRR016712,OTHER,0.99999654
DRR016713,OTHER,0.9998533
DRR016714,OTHER,0.99988043
DRR016715,OTHER,0.9965364
DRR016716,OTHER,0.9999612
DRR016717,OTHER,0.9986731
DRR016718,OTHER,0.9995574
DRR016719,OTHER,0.9998779
SRR2096236,OTHER,0.99810946
SRR2096235,OTHER,0.99732316
SRR2096234,OTHER,0.99477816
SRR2096255,OTHER,0.9999755
SRR2096254,OTHER,0.9999803
SRR2096253,OTHER,0.9999755
SRR2096252,OTHER,0.9999253
SRR2096251,OTHER,0.9999735
SRR2096250,OTHER,0.999972
SRR2096249,OTHER,0.99995136
SRR2096248,OTHER,0.99998826
SRR2096247,OTHER,0.9897052
SRR2096246,OTHER,0.9913999
SRR2096245,OTHER,0.98939866
SRR2096244,OTHER,0.9893565
SRR2096243,OTHER,0.97942036
SRR2096242,OTHER,0.98249674
SRR2096241,OTHER,0.9806879
SRR2096240,OTHER,0.98326796
SRR2096239,OTHER,0.99641055
SRR2096238,OTHER,0.9955765
SRR2096237,OTHER,0.99746096
SRR2096233,OTHER,0.9968864
SRR2096232,OTHER,0.9938487
ERR832536,TISSUE,0.8218263
ERR832537,TISSUE,0.82743585
ERR832538,TISSUE,0.81599396
ERR832539,TISSUE,0.824502
ERR832540,TISSUE,0.9236714
ERR832541,TISSUE,0.9255789
ERR832542,TISSUE,0.92219484
ERR832543,TISSUE,0.9224412
ERR832544,TISSUE,0.90876496
ERR832545,TISSUE,0.91467583
ERR832546,TISSUE,0.9207674
ERR832547,TISSUE,0.9212844
ERR832548,TISSUE,0.9315525
ERR832549,TISSUE,0.9310867
ERR832550,TISSUE,0.936697
ERR832551,TISSUE,0.93294555
ERR832552,TISSUE,0.87301207
ERR832553,TISSUE,0.86890537
ERR832554,TISSUE,0.88457376
ERR832555,TISSUE,0.8782026
ERR832556,TISSUE,0.9352275
ERR832557,TISSUE,0.93614024
ERR832558,TISSUE,0.9363354
ERR832559,TISSUE,0.9329945
SRR629557,OTHER,0.99974614
SRR629559,OTHER,0.9995476
SRR629561,OTHER,0.99989736
SRR629562,OTHER,0.999163
SRR629563,OTHER,0.99963915
SRR629564,OTHER,0.99976224
SRR629565,OTHER,0.9997684
SRR629566,OTHER,0.999797
SRR629568,OTHER,0.9997283
SRR629569,OTHER,0.999709
SRR629570,OTHER,0.9993833
SRR629571,OTHER,0.99998647
SRR629572,OTHER,0.99838895
SRR629573,OTHER,0.99986184
SRR629576,OTHER,0.9997916
SRR629577,OTHER,0.9999936
SRR629578,OTHER,0.99999225
SRR629580,OTHER,0.99994147
SRR629581,OTHER,0.99994147
SRR629582,OTHER,0.99942493
SRR629583,OTHER,0.9992014
SRR389816,OTHER,0.91540444
SRR391078,TISSUE,0.51012516
SRR393826,TISSUE,0.6206447
SRR393827,OTHER,0.50954634
SRR393745,OTHER,0.92319405
SRR393746,OTHER,0.8602082
SRR393824,OTHER,0.9997591
SRR393825,OTHER,0.8243433
SRR393828,OTHER,0.69459975
SRR393829,OTHER,0.9704027
SRR393830,OTHER,0.8821254
SRR393831,OTHER,0.99297035
SRR393832,OTHER,0.8062412
SRR393747,OTHER,0.9450455
SRR393748,OTHER,0.74952275
SRR393749,OTHER,0.7207681
SRR393750,OTHER,0.7985201
SRR393834,OTHER,0.81174123
SRR393835,OTHER,0.7381098
ERR210964,TISSUE,0.95397395
ERR210956,TISSUE,0.93573266
ERR210957,TISSUE,0.9270009
ERR210960,TISSUE,0.9194112
ERR210968,OTHER,0.9984641
ERR210965,TISSUE,0.98317814
ERR210959,TISSUE,0.9930962
ERR210955,TISSUE,0.99565315
ERR210961,TISSUE,0.99181634
ERR210962,TISSUE,0.93992364
ERR210963,TISSUE,0.98588896
ERR210954,TISSUE,0.9806987
ERR210952,TISSUE,0.9693543
ERR210953,TISSUE,0.95866394
ERR210967,TISSUE,0.9770751
ERR210966,TISSUE,0.97757274
SRR609422,TISSUE,0.9967561
SRR609423,TISSUE,0.99058276
SRR609424,TISSUE,0.9932987
SRR609425,TISSUE,0.99653625
SRR609426,TISSUE,0.99609673
SRR609427,TISSUE,0.9883846
SRR609428,TISSUE,0.99355185
SRR609429,TISSUE,0.9961349
SRR609430,TISSUE,0.9941015
SRR611065,TISSUE,0.99999654
SRR611066,TISSUE,0.9997781
SRR611067,TISSUE,0.9999609
SRR611068,TISSUE,0.9999865
SRR611069,TISSUE,0.99999034
SRR611070,TISSUE,0.99999416
SRR2099846,OTHER,0.99999607
SRR2099845,OTHER,0.9999617
SRR2099844,OTHER,0.99998206
SRR2099842,OTHER,0.9999982
SRR2099843,OTHER,0.9999992
SRR2099841,OTHER,0.99999493
SRR2099840,OTHER,0.9999999
SRR2099839,OTHER,1.0
SRR2099838,OTHER,0.9999998
SRR2099837,OTHER,0.9999999
SRR2099836,OTHER,1.0
SRR2099835,OTHER,0.9999998
SRR2099834,OTHER,0.9999999
SRR2099833,OTHER,0.9999999
ERR759388,OTHER,0.9986013
ERR759396,OTHER,0.99906176
ERR759389,OTHER,0.991813
ERR759397,OTHER,0.9915249
ERR759390,OTHER,0.9994715
ERR759398,OTHER,0.99949676
ERR759391,OTHER,0.9984291
ERR759399,OTHER,0.9969057
ERR759392,OTHER,0.99901056
ERR759400,OTHER,0.99908096
ERR759393,OTHER,0.9974303
ERR759401,OTHER,0.9970314
ERR731482,TISSUE,0.9942686
ERR731494,TISSUE,0.99577016
ERR731506,TISSUE,0.9951065
ERR731518,TISSUE,0.99557173
ERR731483,TISSUE,0.9929209
ERR731495,TISSUE,0.99358714
ERR731507,TISSUE,0.993631
ERR731519,TISSUE,0.99250585
ERR731484,TISSUE,0.8797342
ERR731496,TISSUE,0.8980433
ERR731508,TISSUE,0.88781375
ERR731520,TISSUE,0.8977846
SRR2081139,OTHER,0.7164519
SRR2081140,OTHER,0.57851636
SRR2081138,TISSUE,0.6231909
SRR2081137,TISSUE,0.98644304
SRR2081135,OTHER,0.97033405
SRR2081134,OTHER,0.95632535
SRR2081133,OTHER,0.5277343
SRR2081132,OTHER,0.9752654
SRR2081130,TISSUE,0.8739813
SRR2081131,OTHER,0.66417205
SRR2027992,OTHER,0.99801195
SRR2027993,OTHER,0.99811757
SRR2027994,OTHER,0.9982964
SRR2028001,OTHER,0.9988267
SRR2028016,OTHER,0.99894744
SRR2028028,OTHER,0.9983653
SRR2028029,OTHER,0.9986416
SRR2028031,OTHER,0.9992739
SRR2028032,OTHER,0.998917
SRR2028034,OTHER,0.9986739
ERR304479,OTHER,0.97935456
ERR304480,OTHER,0.98919594
ERR304481,OTHER,0.9940327
ERR304482,OTHER,0.9940144
ERR304487,OTHER,0.9990466
ERR304488,OTHER,0.99937856
ERR304489,OTHER,0.9997668
ERR304485,OTHER,0.9998108
ERR304486,OTHER,0.99983567
ERR304483,OTHER,0.99864805
ERR304484,OTHER,0.9990042
SRR324678,OTHER,0.9999916
SRR324679,OTHER,0.99956447
SRR324680,OTHER,0.9984872
SRR324681,OTHER,0.9984558
SRR324682,OTHER,0.9999914
SRR324683,OTHER,0.99999714
SRR324684,OTHER,0.99834365
SRR324685,OTHER,0.99908304
SRR324686,OTHER,0.9997879
SRR324687,OTHER,0.9990204
SRR324688,OTHER,0.9997195
SRR090589,OTHER,0.99905664
SRR094903,OTHER,0.99957
SRR090597,OTHER,0.99980134
SRR090590,OTHER,0.9999901
SRR090594,OTHER,0.9999995
SRR090595,OTHER,0.9999999
SRR090596,OTHER,0.9999999
SRR090591,OTHER,0.9989743
SRR090592,OTHER,0.99999714
SRR090593,OTHER,0.9999916
SRR546588,TISSUE,0.9992981
SRR546589,TISSUE,0.9999031
ERR1018657,OTHER,0.9999336
ERR1018658,OTHER,0.9956023
ERR1018659,OTHER,0.9951979
ERR1018660,OTHER,0.9950598
ERR1018661,OTHER,0.9985696
ERR1018662,OTHER,0.99875414
ERR1018663,OTHER,0.9988737
ERR1018664,OTHER,0.9900936
ERR1018665,OTHER,0.99066
ERR1018666,OTHER,0.99348056
SRR1503250,OTHER,0.9999999
SRR1046364,OTHER,0.99929637
SRR1046683,OTHER,0.9994116
ERR576280,OTHER,0.99994344
ERR576281,OTHER,0.99998474
ERR576282,OTHER,0.99995244
ERR576283,OTHER,0.99995136
ERR576284,OTHER,0.9999379
ERR576285,OTHER,0.9999798
ERR576286,OTHER,0.9999727
ERR576287,OTHER,0.99999255
ERR576288,OTHER,0.99969405
SRR576123,OTHER,0.9999998
SRR576124,OTHER,0.9999999
SRR576125,OTHER,0.9999999
SRR576126,OTHER,0.99999905
SRR576127,OTHER,0.9999992
SRR576128,OTHER,0.9999995
SRR576129,OTHER,0.9999955
SRR576130,OTHER,0.9999949
SRR576131,OTHER,0.9999981
ERR351162,OTHER,0.99993515
ERR351163,OTHER,0.9999107
ERR351164,OTHER,0.9999072
ERR695496,OTHER,0.9971442
ERR695497,OTHER,0.99995965
ERR695498,OTHER,0.99377346
ERR695499,OTHER,0.9997901
ERR695500,OTHER,0.9991387
SRR014493,TISSUE,0.9935091
SRR014494,TISSUE,0.99918
SRR014495,TISSUE,0.99891967
SRR014496,TISSUE,0.9985696
SRR014497,TISSUE,0.99910897
SRR014498,TISSUE,0.99980736
SRR014499,TISSUE,0.99976075
SRR014500,TISSUE,0.9977063
ERR1145945,OTHER,0.99986756
ERR1145946,OTHER,0.9998754
ERR1145947,OTHER,0.9989042
ERR1145948,OTHER,0.9992897
ERR1145949,OTHER,0.993636
ERR1145950,OTHER,0.99877024
ERR1145951,OTHER,0.996527
ERR1145944,OTHER,0.9999323
DRR014396,OTHER,0.9999918
DRR014397,OTHER,0.9999968
DRR014398,OTHER,0.9999955
DRR014399,OTHER,0.99999887
DRR014400,OTHER,0.9999838
DRR014401,OTHER,0.9999956
DRR014402,OTHER,0.9999854
SRR593274,OTHER,0.9999987
SRR593277,OTHER,1.0
SRR593160,OTHER,0.9999849
SRR593157,OTHER,0.9998514
SRR593158,OTHER,0.9995696
SRR593165,OTHER,0.9992644
SRR593159,OTHER,0.9999992
ERR910009,OTHER,0.9941101
ERR910013,OTHER,0.99327266
ERR910010,OTHER,0.99779415
ERR910014,OTHER,0.99761784
ERR910011,OTHER,0.99493015
ERR910015,OTHER,0.99475163
ERR910016,OTHER,0.997997
SRR2079883,OTHER,0.9962767
SRR2079884,OTHER,0.99721843
SRR2079882,OTHER,0.99969494
SRR2079885,OTHER,0.997235
SRR2079881,OTHER,0.99976844
SRR2079880,OTHER,0.9996749
ERR732465,OTHER,0.9999956
ERR732466,OTHER,0.99994594
ERR732467,OTHER,0.99999726
ERR732468,OTHER,0.99999505
ERR732469,OTHER,0.9999949
ERR732470,OTHER,0.9999968
ERR956736,OTHER,0.8348158
ERR956739,OTHER,0.84115744
ERR956737,OTHER,0.8885517
ERR956740,OTHER,0.9046189
ERR956738,OTHER,0.84300405
ERR956741,OTHER,0.8636694
ERR922709,TISSUE,0.9309003
ERR922710,TISSUE,0.891992
ERR922711,TISSUE,0.99344206
ERR922712,TISSUE,0.992544
ERR922713,OTHER,0.8167139
ERR922714,OTHER,0.9372206
SRR645160,TISSUE,0.99370825
SRR645161,TISSUE,0.95333135
SRR645163,TISSUE,0.9590306
SRR645375,TISSUE,0.86622036
SRR645162,TISSUE,0.9344985
SRR645376,TISSUE,0.85074437
SRR2106405,OTHER,0.99990016
SRR2106404,OTHER,0.9998299
SRR2106403,OTHER,0.999817
SRR2106402,OTHER,0.999736
SRR2106400,OTHER,0.99921286
SRR2106401,OTHER,0.999853
SRR350976,OTHER,0.99999416
SRR350978,OTHER,0.99990165
SRR353604,OTHER,0.99999297
SRR353948,OTHER,0.9996816
SRR353602,OTHER,0.9930264
SRR353603,OTHER,0.99916124
SRR1042583,OTHER,0.9988651
SRR1042584,OTHER,0.9984565
SRR1042586,OTHER,0.9995344
SRR1042587,OTHER,0.9966779
SRR1042589,OTHER,0.9988165
SRR1042590,OTHER,0.9977654
DRR010359,OTHER,0.99994355
DRR010362,OTHER,0.9999933
DRR010360,OTHER,0.99999124
DRR010363,OTHER,0.99996185
DRR010361,OTHER,0.9999898
DRR010364,OTHER,0.99999964
SRR407635,OTHER,1.0
SRR407636,OTHER,1.0
SRR407637,OTHER,1.0
SRR407643,OTHER,1.0
SRR407644,OTHER,1.0
ERR215682,OTHER,0.9994502
ERR215683,OTHER,0.99875146
ERR215684,OTHER,0.99846345
ERR215685,OTHER,0.99912107
ERR215686,OTHER,0.99768746
SRR2107340,OTHER,0.9999669
SRR2107338,OTHER,0.9999794
SRR2107337,OTHER,0.9999916
SRR2107336,OTHER,0.9999887
SRR2107335,OTHER,0.99998665
SRR618770,OTHER,0.9999999
SRR618771,OTHER,0.9999999
SRR618772,OTHER,1.0
SRR618773,OTHER,1.0
ERR033747,OTHER,0.53126687
SRR364001,OTHER,0.9940861
SRR364003,OTHER,0.985627
SRR364004,OTHER,0.99999034
SRR364005,OTHER,0.9999896
SRR364065,OTHER,0.99970293
SRR223496,OTHER,0.99999464
SRR223497,OTHER,0.99994975
SRR223506,OTHER,0.999993
SRR223524,OTHER,0.99968165
SRR223525,TISSUE,0.99788934
SRR349689,OTHER,0.99901664
SRR349693,OTHER,0.999053
SRR349694,OTHER,0.9991511
SRR349695,OTHER,0.99647605
SRR349696,OTHER,0.9969433
SRR074310,TISSUE,0.9892572
SRR074899,TISSUE,0.9495942
SRR074901,OTHER,0.9734844
SRR074903,OTHER,0.9925696
SRR192425,OTHER,0.99824286
SRR192534,OTHER,0.99999416
SRR192532,OTHER,0.99574107
SRR192536,OTHER,0.9999815
ERR661279,TISSUE,0.7574607
ERR661280,OTHER,0.5154684
ERR661281,TISSUE,0.95370924
ERR661282,TISSUE,0.675454
SRR350973,TISSUE,0.88856393
SRR357412,TISSUE,0.91910285
SRR357437,TISSUE,0.9451213
SRR361334,TISSUE,0.9678184
ERR191523,OTHER,0.99937916
ERR191524,OTHER,0.9996889
ERR598796,OTHER,0.9998485
ERR700461,OTHER,0.99983776
SRR2087208,OTHER,0.9953173
SRR2087209,OTHER,0.9999567
SRR2087207,TISSUE,0.99269927
SRR2087206,TISSUE,0.99878395
SRR504650,OTHER,0.9999956
