,sex,sex_confi
SRR1608772,male,0.9993454
SRR448116,male,0.97757185
SRR1521401,male,0.9845214
SRR896895,male,0.99445117
SRR897995,male,0.9932553
SRR349672,male,0.5656019
SRR1313144,female,0.99943304
SRR903020,male,0.9990883
SRR1265569,male,0.9960145
SRR1576174,male,0.9599428
SRR797155,female,0.99999887
SRR2049615,female,0.9998892
SRR396951,female,0.9960391
SRR057636,male,0.99991065
SRR1656640,female,0.9988141
SRR897436,male,0.999253
ERR030864,male,0.9277776
ERR315370,male,0.9887041
DRR006493,male,0.99898326
SRR897176,male,0.9895522
SRR1186059,female,0.9991602
SRR898154,male,0.9898059
SRR898320,male,0.98485976
ERR649050,male,0.98725975
SRR1292167,male,0.91108006
SRR898406,male,0.997007
SRR1721303,male,0.98989993
SRR898492,male,0.99240315
SRR1213776,male,0.9782343
ERR315477,female,0.9996034
SRR896960,male,0.99536437
SRR1502804,male,0.99582034
SRR897978,male,0.99704075
SRR898454,male,0.99199104
SRR1747157,male,0.9930539
SRR898117,male,0.99924624
DRR006419,male,0.9948352
SRR1313163,female,0.999722
ERR351437,male,0.81090486
SRR1521410,male,0.9971119
SRR1216029,male,0.9921487
SRR922464,female,0.9984759
SRR1027754,male,0.85825026
ERR329511,male,0.9987149
SRR1781563,male,0.69595706
DRR006480,male,0.99731797
SRR833716,female,0.9897481
SRR797138,female,0.9999564
SRR299116,male,0.9373832
SRR650154,male,0.99924314
SRR363690,female,0.9961856
SRR868825,female,0.9990014
SRR1693467,male,0.9998233
SRR897052,male,0.9992568
SRR1777323,female,0.6469579
SRR542348,female,0.98663473
SRR611845,female,0.9999863
SRR846951,male,0.98037624
SRR897119,male,0.9993618
SRR1698175,male,0.99935484
SRR1265587,male,0.97442484
SRR897425,male,0.9988395
SRR605005,female,0.9957466
SRR2047483,male,0.86989033
SRR1201731,female,0.87359226
SRR1656638,female,0.97565717
SRR2443202,female,0.9987427
SRR1313122,female,0.9904666
SRR1652913,female,0.9745594
SRR1521389,female,0.9998997
SRR2087360,female,0.9999148
SRR897470,male,0.9981958
SRR1744449,female,0.9153301
SRR1313170,female,0.99992245
SRR1146149,female,0.9999871
ERR863733,female,0.9999998
SRR396958,male,0.9746726
SRR1017533,male,0.99991435
SRR1839792,female,0.9960022
SRR897152,male,0.9829227
SRR897841,male,0.99925756
ERR752548,male,0.9854655
SRR975596,male,0.9684149
SRR1698157,male,0.99787015
SRR1177742,female,0.9999741
SRR1036030,male,0.99847114
SRR1177754,female,0.9986743
SRR542356,female,0.9985453
SRR2049751,female,0.99980605
SRR975552,male,0.9833232
SRR801702,female,0.9961278
SRR897141,male,0.98767936
SRR1698161,male,0.99705994
ERR752798,male,0.94243956
SRR1203811,female,0.68263566
SRR1265605,male,0.9566355
ERR752638,female,0.9837676
SRR1265559,male,0.9395582
SRR397228,female,0.94056594
ERR210959,male,0.992678
ERR863765,female,0.99990445
ERR752578,male,0.94636405
SRR797157,female,0.986864
SRR896865,male,0.99479705
SRR896883,male,0.99715936
SRR542383,female,0.9999114
SRR448115,male,0.96478146
SRR801425,male,0.99996567
SRR2052785,male,0.98984003
SRR897169,male,0.98260605
SRR897703,male,0.99299306
SRR1047872,female,0.9973952
SRR2028009,male,0.7804835
SRR2049780,female,0.99951446
SRR926686,male,0.9995343
SRR1768922,male,0.99407786
ERR532591,male,0.99695665
SRR2049712,male,0.9812096
SRR3096650,female,0.99841106
SRR898224,male,0.9921099
SRR2049690,male,0.9891286
SRR868823,female,0.9999919
SRR1652954,male,0.99495375
SRR299106,female,0.9855161
SRR791048,female,0.99957734
SRR896924,male,0.9871958
SRR2052666,male,0.98335916
ERR752589,male,0.96245605
SRR1177714,male,0.85225403
DRR006448,female,0.9989356
SRR1177694,female,0.99940073
SRR396926,female,0.5482124
SRR897083,male,0.99789953
ERR668391,male,0.9918295
SRR897073,male,0.99775505
ERR752678,male,0.94559735
SRR898418,male,0.99443084
SRR1608538,female,0.5057556
SRR633559,male,0.54063547
SRR2087319,male,0.996632
SRR902948,male,0.9985234
SRR926685,male,0.99991167
SRR1231447,male,0.9583907
SRR2049595,female,0.99854696
ERR315449,female,0.9909941
ERR841670,female,0.9620374
SRR1747159,male,0.98927385
SRR903058,male,0.99873716
SRR897326,male,0.9904849
SRR868861,male,0.8528346
SRR897063,male,0.99635094
SRR1265516,male,0.9900855
SRR363764,male,0.9907716
SRR897284,male,0.9879837
SRR897542,male,0.9869374
SRR897648,male,0.9934658
SRR1652947,female,0.99325114
SRR2040357,female,0.88369054
SRR2052789,male,0.98167056
SRR1768883,male,0.9859894
SRR897317,male,0.9928371
ERR752821,male,0.9691483
SRR897523,male,0.98845446
ERR752791,male,0.9817912
SRR831021,female,0.9387573
ERR532608,male,0.9878027
SRR1146204,male,0.9996864
SRR1313099,female,0.99615175
DRR006485,female,0.99018764
SRR649552,male,0.99988604
SRR2969596,female,0.99668187
SRR1201793,female,0.8741042
SRR2443161,female,0.99663174
SRR1777320,male,0.986183
SRR2859774,female,0.6642927
ERR833222,female,0.99908245
ERR752745,female,0.99379826
SRR1313149,female,0.93698514
SRR1608830,male,0.99848396
SRR897138,male,0.9888088
SRR1146135,male,0.99866503
ERR315439,female,0.73992074
ERR752599,male,0.95807236
SRR1373452,male,0.97890365
SRR1222682,male,0.98901767
ERR752885,male,0.9563473
SRR898194,male,0.99567854
SRR879366,female,0.58851516
SRR396934,male,0.9999946
SRR317102,male,0.99796736
SRR546586,male,0.99904764
SRR897434,male,0.99923056
SRR896783,male,0.985901
SRR1373441,female,0.99847203
SRR397219,female,0.999205
DRR006397,male,0.8899887
SRR628228,female,0.9878562
DRR006424,male,0.98906386
SRR2443210,female,0.99923676
SRR1785274,female,0.99908525
SRR1385242,male,0.99975413
SRR1046814,male,0.9991369
SRR2313070,female,0.97576123
SRR1721295,male,0.98241675
SRR959727,female,0.55526304
ERR532597,male,0.9992604
SRR1663235,female,0.99397695
SRR1163055,female,0.9986947
SRR1665022,male,0.9900421
SRR633601,female,0.999987
DRR006437,male,0.987031
SRR898467,male,0.99529094
ERR519487,male,0.95849955
SRR1265573,male,0.9835207
SRR1557954,male,0.91249686
SRR915775,female,0.9988707
SRR2926055,male,0.9947411
SRR1216105,male,0.9942053
SRR898240,male,0.99920017
SRR1608886,male,0.67324406
SRR1521425,female,0.99998
SRR2925168,female,0.5463654
SRR834566,male,0.9932264
DRR029113,female,0.9449549
SRR1042021,male,0.9573749
SRR1042018,male,0.98175585
SRR897975,male,0.9932615
SRR2926067,male,0.98361063
SRR1576158,male,0.9511269
ERR519499,male,0.8950761
SRR898231,male,0.9913071
SRR2087352,female,0.9999477
SRR1422068,female,0.9994211
SRR897070,male,0.99787843
SRR1027190,female,0.9970009
SRR2313985,male,0.9907152
ERR649071,male,0.9857423
SRR898469,male,0.9922366
SRR1216028,male,0.99297124
SRR1146131,male,0.9957903
SRR2014237,male,0.692558
SRR897212,male,0.99633396
SRR419385,female,0.8400513
SRR896675,male,0.99891746
SRR1035941,male,0.99321824
ERR649033,female,0.9996095
SRR057631,male,0.99985826
SRR1823861,female,0.99615777
ERR315334,male,0.99485075
SRR898431,male,0.99246824
ERR649055,male,0.98175067
SRR1422071,female,0.9075635
SRR797113,male,0.9335035
SRR949089,female,0.99995315
SRR1002080,female,0.9851519
SRR1268065,female,0.9995354
ERR752858,male,0.97290313
SRR915783,male,0.99131215
SRR1657542,female,0.9908861
SRR898360,male,0.9935007
SRR2049653,female,0.9998862
SRR1203845,female,0.86478794
ERR532571,male,0.99904907
SRR897246,male,0.996822
SRR1502812,male,0.99786013
SRR611847,female,0.99991
SRR898441,male,0.992578
ERR315423,male,0.9974743
SRR1220157,male,0.99992675
SRR897211,male,0.9946705
SRR1036082,female,0.99761486
SRR1551066,male,0.9966257
DRR006454,female,0.9993367
SRR1521395,male,0.98941815
SRR1661796,male,0.9853358
SRR1608920,male,0.9953252
SRR898019,male,0.9913124
SRR633563,male,0.9727952
ERR752531,male,0.957516
SRR897687,male,0.99278486
ERR519509,female,0.99887896
SRR191706,male,0.9804965
SRR959744,female,0.5961644
SRR542401,female,0.99906844
SRR897709,male,0.9935419
SRR959734,female,0.5980834
SRR896816,male,0.9889881
SRR2052732,male,0.98300564
SRR650147,male,0.9914633
SRR1002093,female,0.9998294
SRR797097,female,0.9999431
SRR2052695,male,0.9788585
SRR797087,female,0.9971021
SRR1521430,female,0.9996314
SRR057637,male,0.9992963
SRR2443156,female,0.99752235
SRR1265556,male,0.9811801
SRR897127,male,0.98289156
SRR020723,male,0.999761
SRR1313180,female,0.9984851
SRR1268076,male,0.9901598
SRR896772,male,0.9916218
SRR2049590,male,0.9937407
SRR897334,male,0.9929639
SRR897535,male,0.9866952
SRR1146196,female,0.99989235
SRR868864,female,0.99986917
SRR1268075,male,0.977701
SRR1971626,male,0.993945
SRR1502794,male,0.99697286
SRR633578,male,0.946852
SRR1060783,male,0.5157505
SRR1656644,male,0.98610747
SRR2927597,male,0.8833271
SRR1146259,male,0.86612666
SRR1747211,male,0.996764
SRR898020,male,0.9935813
SRR1213728,male,0.9298109
SRR479060,female,0.990279
SRR898434,male,0.9879034
SRR897508,male,0.9905117
SRR2049593,male,0.991739
SRR896886,male,0.99592924
SRR2052805,male,0.9716652
SRR2087349,female,0.9991255
SRR926693,male,0.9997671
SRR897590,male,0.9966691
SRR2314023,male,0.9909679
ERR833220,female,0.9990015
SRR898040,male,0.9938189
SRR363757,male,0.9501284
SRR1201687,female,0.84578717
SRR903218,male,0.9919008
SRR317101,male,0.9988192
SRR1265517,male,0.984954
SRR298696,male,0.70927733
SRR897558,male,0.9962034
SRR2049648,female,0.9999176
SRR897323,male,0.9909576
SRR397216,female,0.9486345
SRR1146261,female,0.79291874
SRR898394,male,0.9933524
SRR2926038,male,0.9952618
SRR1203026,male,0.5260037
SRR191658,male,0.99211216
SRR2962012,female,0.9965619
SRR2052723,male,0.9817928
SRR1146144,male,0.9979042
SRR1747179,male,0.99813354
SRR1037487,male,0.6214254
SRR897824,male,0.99880904
SRR959632,male,0.6135308
SRR2052698,male,0.9856863
SRR896751,male,0.988624
SRR1313193,female,0.9950668
SRR542394,female,0.99998724
SRR2052725,male,0.9989785
SRR1220158,male,0.9999819
SRR897649,male,0.9929563
SRR1652934,male,0.8995172
SRR2052682,female,0.99844897
SRR1191344,male,0.9999841
SRR1818510,male,0.63895965
SRR396896,male,0.9975004
SRR897093,male,0.9986366
SRR1617428,male,0.98764306
SRR2557127,male,0.78312033
SRR1201816,female,0.8929739
SRR959550,male,0.54331034
SRR2052694,male,0.9970462
ERR863755,female,0.99992955
SRR1292156,female,0.9919745
SRR448087,male,0.95537025
SRR897668,male,0.9892007
SRR975604,female,0.9996065
SRR897477,male,0.999787
SRR317094,male,0.9924323
SRR1017531,female,0.65545297
SRR332270,male,0.99928254
ERR315360,female,0.999128
SRR1648325,male,0.9997881
SRR1663239,male,0.99770737
SRR650174,male,0.9980381
SRR896710,male,0.9998131
SRR1292154,female,0.99688804
ERR351383,female,0.9603599
SRR648404,male,0.99899656
SRR058072,male,0.9657682
ERR832551,male,0.97630167
SRR1927033,male,0.99000484
SRR1313228,female,0.99953556
SRR1216037,male,0.9919063
SRR2052726,male,0.99859846
SRR1201785,female,0.91925275
SRR959633,male,0.5295895
SRR1265883,male,0.9997799
SRR897867,male,0.99312764
SRR1663255,male,0.99977493
SRR903106,male,0.94041187
SRR959687,female,0.6691828
SRR898042,male,0.99208057
SRR449360,female,0.9987465
SRR1746781,female,0.8766712
SRR959624,male,0.6132904
SRR1026962,male,0.97857916
SRR1146088,male,0.99025524
SRR1026872,male,0.9443778
SRR1026970,female,0.998422
SRR1042025,female,0.9999914
SRR898370,male,0.9939493
SRR831035,male,0.8729564
SRR1222677,male,0.9941292
SRR926689,male,0.9998456
SRR2925160,female,0.85920316
SRR420187,female,0.9979641
SRR797135,male,0.99262154
SRR1617422,female,0.6116854
SRR1213729,male,0.9993993
SRR898480,male,0.99267185
DRR006418,female,0.998
SRR514149,male,0.9990074
ERR197923,male,0.9770606
ERR863689,female,0.99997604
SRR1146240,female,0.99997675
SRR1201771,female,0.9342858
SRR1203800,male,0.68086916
SRR797140,female,0.9999997
SRR1193404,male,0.9999968
ERR863764,female,0.9999193
SRR1698151,female,0.9997093
SRR897941,male,0.9959396
ERR832548,male,0.981002
SRR1036041,female,0.99981624
ERR173258,male,0.99963886
SRR959592,male,0.5015775
SRR942560,male,0.9997013
SRR1146110,male,0.99895895
SRR897153,male,0.9875231
SRR2049641,male,0.98059046
SRR898426,male,0.9972736
SRR1190467,male,0.9999629
SRR1785268,female,0.9986397
SRR898329,male,0.99263084
SRR2049720,male,0.98869383
SRR896692,male,0.99940646
SRR2049739,female,0.9998888
SRR1747175,male,0.9975066
SRR191666,male,0.9973954
SRR1839804,female,0.9994583
SRR057634,male,0.99930066
SRR897536,male,0.9923798
SRR2049631,male,0.9162612
SRR2557088,female,0.72948754
SRR898398,male,0.997067
SRR1146241,male,0.9926249
ERR532442,male,0.99880123
SRR1608796,male,0.9996047
SRR897066,male,0.99621934
SRR2049626,male,0.9587908
SRR2087316,male,0.99966544
SRR786621,male,0.99655104
SRR1746783,male,0.9482018
SRR896720,male,0.99953586
SRR896911,male,0.98879135
SRR898212,male,0.99480915
ERR752535,male,0.9764703
SRR976770,female,0.9896593
SRR959611,male,0.61137855
SRR2052771,female,0.99965537
SRR1265675,male,0.9891466
SRR546584,male,0.99864244
SRR897890,male,0.9904394
SRR1201797,female,0.84427184
SRR1652914,male,0.8812423
SRR611070,female,0.99929744
SRR1047870,male,0.9842268
SRR1146183,male,0.99421996
SRR609430,male,0.9790847
SRR846949,male,0.96074426
SRR1201826,male,0.94165546
SRR1067983,female,0.99963903
ERR752767,male,0.9744158
SRR897963,male,0.99794215
SRR2049778,male,0.967083
SRR1521414,male,0.997538
ERR752654,male,0.98456144
ERR649061,male,0.8787743
SRR018258,male,0.99981195
SRR1754136,male,0.9928554
SRR1216002,male,0.9991293
SRR898459,male,0.99215
SRR2049754,male,0.9789201
SRR1698154,female,0.9996764
SRR897415,male,0.9992038
SRR1216085,male,0.9921481
SRR959644,male,0.58734417
SRR546238,male,0.999778
SRR364830,female,0.9998487
SRR1046823,male,0.999962
SRR1374343,male,0.98027533
SRR1201665,female,0.99770594
DRR006467,female,0.9980141
SRR648410,male,0.99888486
SRR515084,male,0.991899
SRR897157,male,0.9905267
SRR897692,male,0.9930161
SRR2037287,male,0.9998686
ERR731519,female,0.92272216
SRR2313990,female,0.99998474
SRR948095,male,0.96362334
SRR1146249,male,0.99773693
SRR397184,male,0.99718714
SRR2087299,female,0.99598515
SRR897513,male,0.990921
SRR1027757,female,0.65545297
SRR1373457,female,0.99926126
SRR1192965,male,0.9999734
SRR397191,male,0.99983233
SRR1747200,male,0.99637955
SRR924536,male,0.99999917
SRR1027009,female,0.9998676
SRR2049741,male,0.98764914
SRR317090,male,0.9985874
SRR542374,female,0.9983977
SRR868836,female,0.99838626
SRR2962006,female,0.992705
SRR419540,male,0.9974755
SRR797082,female,0.99992657
SRR648415,female,0.51916534
SRR2087206,male,0.9978644
SRR1663240,male,0.997215
SRR514143,male,0.9706558
SRR1521363,male,0.9933624
SRR898173,male,0.98976743
SRR898190,male,0.9912442
SRR959602,male,0.59843826
SRR2443244,male,0.9736555
ERR752660,male,0.9779043
ERR351442,male,0.99465054
SRR898011,male,0.99326456
ERR752804,male,0.991107
ERR752670,male,0.97112924
SRR2087320,female,0.9992057
SRR1145042,male,0.99283063
ERR863545,male,0.99996775
ERR315333,male,0.9998909
SRR650156,male,0.99989235
SRR1145046,male,0.989014
SRR1026893,female,0.9998725
SRR1177678,female,0.99860156
ERR752729,male,0.9356902
SRR896718,male,0.9993992
SRR1163277,female,0.5970095
SRR479077,female,0.9735719
SRR1146192,male,0.9941187
SRR479068,female,0.99931467
SRR896904,male,0.99338895
ERR752525,male,0.9587759
SRR1608846,female,0.95411646
SRR1373450,male,0.9992983
SRR1203027,female,0.9944288
SRR897055,male,0.9995198
SRR896756,male,0.9893042
SRR1927046,male,0.9929603
SRR1649195,male,0.9986421
SRR1216086,male,0.9955866
SRR556766,male,0.91264075
SRR980449,female,0.9974629
DRR006394,female,0.99225646
SRR1313109,female,0.99830306
SRR1177705,female,0.999708
SRR191710,female,0.9997824
SRR396921,male,0.9995656
SRR1216043,male,0.99330807
ERR752877,male,0.9591004
SRR898323,male,0.9917383
SRR1313202,female,0.9984233
SRR897257,male,0.9982626
SRR1744450,female,0.91360265
SRR868819,female,0.99642515
SRR492028,male,0.6534785
SRR898276,male,0.9980253
SRR1313127,female,0.9962424
SRR1521361,female,0.9999897
SRR2545344,male,0.60085374
SRR949110,female,0.995232
SRR896831,male,0.9949686
SRR648418,male,0.99986345
ERR832546,female,0.99501324
SRR868869,male,0.9609622
SRR1721293,female,0.99445045
SRR797114,male,0.93835145
ERR833234,male,0.9901826
ERR532553,male,0.99978435
SRR1177695,male,0.92579067
SRR633582,male,0.7841531
SRR1747155,male,0.9936393
SRR898220,male,0.9896308
SRR1203089,female,0.9894668
SRR2443164,female,0.9985496
SRR1046825,male,0.99997556
SRR387446,male,0.9998683
SRR2052718,male,0.99327105
SRR1192017,male,0.99997365
ERR351374,female,0.9307376
SRR2926052,male,0.97527295
SRR1161034,male,0.99405396
SRR633603,female,0.99995005
DRR006482,male,0.98931134
SRR1203813,female,0.92136705
SRR896876,male,0.998679
SRR897721,male,0.99105835
ERR833231,male,0.9858879
SRR1193638,male,0.999994
SRR1027174,female,0.9999355
SRR831015,male,0.5810119
ERR329515,male,0.9950203
SRR546237,male,0.98169726
SRR650171,male,0.99958104
SRR801432,male,0.9999895
SRR1036110,male,0.999732
SRR898287,male,0.99875593
SRR959743,female,0.59894395
SRR949091,female,0.992513
SRR2049706,male,0.99003345
SRR1652903,male,0.76514065
SRR1163247,female,0.99999774
SRR949085,male,0.99668205
SRR1823867,female,0.9958046
ERR649019,female,0.99814826
SRR897812,male,0.9992692
ERR752636,male,0.9647969
ERR315479,female,0.9753769
SRR897204,male,0.99244916
SRR897679,male,0.99284554
SRR898200,male,0.99738103
SRR897408,male,0.99936897
ERR752714,female,0.99855185
SRR1177679,male,0.882489
SRR1652928,male,0.8351973
SRR1163281,male,0.97374094
ERR351369,female,0.6740188
SRR1146194,male,0.99128675
SRR897260,male,0.99583846
ERR668354,male,0.9928298
SRR898033,male,0.9914247
SRR542402,female,0.99867946
SRR897939,male,0.9974602
SRR787273,male,0.9671952
SRR1146123,male,0.99661654
SRR1265663,male,0.97304106
SRR846953,male,0.96834487
SRR1265606,male,0.97462595
SRR1265628,male,0.9794072
SRR898485,male,0.9925395
SRR897262,male,0.9978491
SRR2049597,female,0.99984515
SRR420195,male,0.95345783
SRR2962016,female,0.9788659
SRR1201712,female,0.85680187
SRR1663269,female,0.9971749
SRR915780,female,0.9999176
SRR2049617,male,0.9360282
SRR1927058,male,0.9962818
ERR348416,female,0.50012386
SRR1562544,female,0.9996358
SRR317098,male,0.99792385
SRR070191,female,0.5616371
SRR1216094,male,0.99341124
ERR863695,female,0.9999198
SRR898166,male,0.99230003
SRR1216025,male,0.9939907
SRR1177727,male,0.9306412
SRR1768897,female,0.9984538
SRR1216125,male,0.9985665
SRR896750,male,0.9848024
SRR898258,male,0.9984307
SRR922457,female,0.9968311
SRR2040354,female,0.99906576
ERR649022,female,0.9993224
SRR1663219,male,0.9938362
SRR1608506,female,0.99719745
SRR2049688,male,0.9416836
SRR1649700,female,0.9965304
SRR959720,female,0.5986124
ERR532609,male,0.9874094
SRR1663216,female,0.9830178
SRR897076,male,0.9967209
ERR752586,male,0.9709875
ERR833250,male,0.99157876
SRR1191348,male,0.9999924
SRR897629,male,0.99609745
SRR650169,female,0.9999744
ERR752872,male,0.9558004
SRR801692,female,0.9991109
SRR959658,female,0.5984394
ERR315390,female,0.99975616
SRR546230,male,0.99718344
ERR752848,male,0.93566847
SRR1146143,female,0.999395
SRR898369,male,0.9966709
SRR1652944,female,0.9666463
SRR896748,male,0.9927848
SRR2049668,female,0.99936885
SRR898232,male,0.99071014
SRR2557126,male,0.8331127
SRR018261,male,0.5664301
SRR1551078,male,0.9999685
SRR1146078,female,0.99980384
SRR2052672,male,0.98389757
SRR1313093,female,0.95623064
SRR420188,female,0.99206483
ERR752704,female,0.9978749
SRR1191347,male,0.9999889
SRR1693456,male,0.99991924
SRR959699,female,0.6282684
SRR896888,male,0.99510306
SRR2049696,male,0.9956959
SRR1373462,male,0.9994482
SRR2087308,female,0.9954022
SRR1648332,male,0.9957905
SRR1216113,female,0.9999981
SRR1265523,male,0.988979
SRR837865,male,0.99999315
SRR959618,male,0.589409
SRR2040359,female,0.9999015
SRR898188,male,0.9952914
ERR594514,male,0.999423
SRR897970,male,0.99725544
SRR1648445,female,0.5408662
SRR1036055,female,0.99884623
SRR897517,male,0.9913479
ERR752616,male,0.9532673
SRR479074,female,0.9732088
ERR752617,male,0.9562968
SRR650148,male,0.9986558
ERR752855,male,0.96553403
SRR2049728,male,0.9960414
SRR1192966,male,0.9999574
SRR191718,male,0.7563438
SRR896887,male,0.99268883
SRR2545367,male,0.9910768
SRR897537,male,0.9927982
SRR1193522,male,0.99999475
SRR1608744,male,0.9976958
SRR1202978,female,0.76837265
SRR897190,male,0.9935838
SRR846955,male,0.9918264
SRR191650,female,0.99958766
ERR532603,male,0.9992949
SRR898464,male,0.9937714
ERR351439,male,0.96566314
SRR1927019,female,0.9984598
SRR988499,female,0.9930569
SRR2049632,male,0.97906625
SRR2052727,male,0.9761648
SRR830988,male,0.93186414
ERR210956,male,0.9938219
SRR1177697,female,0.9615067
ERR752591,male,0.97015226
SRR2052719,male,0.9965722
SRR897630,male,0.9971506
SRR897446,male,0.99967444
SRR1216058,male,0.99416554
ERR752570,male,0.9517533
SRR1027180,female,0.99991924
SRR1203775,female,0.9996084
SRR949103,female,0.9900471
ERR731508,female,0.93635863
SRR645162,male,0.9997032
SRR611846,female,0.7015543
SRR2049647,male,0.99564046
SRR1177734,male,0.94883746
SRR1202846,female,0.85632545
SRR1924424,male,0.9075308
ERR752897,male,0.97864497
SRR2049737,male,0.9852608
SRR897944,male,0.9970206
SRR897297,male,0.9904541
SRR959715,male,0.6643084
SRR2049583,female,0.9998744
SRR2037302,male,0.9999547
SRR898424,male,0.9942832
SRR1582513,female,0.9993032
SRR1957186,male,0.90343904
SRR896821,male,0.99195606
SRR897185,male,0.99382085
SRR1313229,female,0.99947846
SRR1768838,female,0.9997746
ERR752633,female,0.9990195
ERR315398,male,0.9992291
SRR898446,male,0.9933184
SRR825135,male,0.97465193
SRR897945,male,0.9961007
SRR1268068,male,0.97483027
ERR229797,male,0.9987494
SRR959740,male,0.5785714
SRR1177756,female,0.99561405
SRR2052776,male,0.9922379
SRR1744446,female,0.6857238
SRR836506,female,0.8271351
SRR1265648,male,0.9769715
SRR1927049,female,0.99861574
SRR1693452,male,0.9861126
SRR897683,male,0.9902438
SRR1768869,female,0.9998045
SRR896678,male,0.99911755
SRR898211,male,0.9917089
SRR1767290,male,0.9913189
SRR787276,male,0.9901497
ERR752637,female,0.9760073
SRR1785322,female,0.9988958
SRR1203843,female,0.96887416
SRR1693461,male,0.99795884
SRR1201832,female,0.98216456
SRR1216081,male,0.99349195
ERR833227,male,0.9783176
SRR898238,male,0.9943999
SRR835009,male,0.87809
SRR897626,male,0.99738187
SRR975562,male,0.998412
SRR1201981,female,0.9793011
ERR532439,male,0.9998107
SRR1146181,female,0.9997736
SRR1036511,male,0.9140652
SRR1193017,male,0.9999963
SRR896764,male,0.9918839
SRR948099,male,0.9997527
SRR959692,male,0.5549747
SRR2049743,male,0.9723859
SRR898174,male,0.99164116
SRR1313103,female,0.9998994
SRR1313185,female,0.99805564
SRR605000,male,0.94764125
SRR801427,female,0.99990904
SRR2443229,female,0.9995636
SRR2049700,male,0.97769433
SRR1767291,male,0.98959243
SRR1373443,female,0.99738055
SRR2443223,female,0.9986062
ERR668407,male,0.99687445
SRR898122,male,0.99844617
SRR2313079,female,0.9147545
SRR825140,female,0.99962014
SRR1652959,male,0.54492795
SRR1201813,female,0.8635024
SRR949113,female,0.9998927
SRR1313140,female,0.9909855
ERR315428,female,0.8509223
SRR2313973,male,0.9887017
SRR1385250,male,0.9998003
SRR1026943,female,0.9989363
SRR448104,female,0.98359394
SRR791065,female,0.984629
SRR896833,male,0.9964296
ERR532607,male,0.9989683
SRR346465,male,0.99587137
SRR2087288,female,0.86564
SRR1216060,male,0.9952439
ERR208919,male,0.614838
SRR2443234,female,0.99926174
ERR351436,male,0.99418676
SRR2557125,female,0.9318837
SRR1760944,female,0.82435715
SRR546235,male,0.9938461
SRR897309,male,0.98917115
SRR317087,female,0.9930357
SRR633573,female,0.9997608
SRR1593953,male,0.98076046
DRR006483,female,0.9991336
SRR1060799,male,0.507421
SRR1313219,female,0.99798316
SRR1927043,female,0.999411
SRR896721,male,0.998695
SRR898310,male,0.991012
SRR896878,male,0.9952161
SRR1036508,female,0.9992653
SRR2049625,male,0.9696277
SRR1201867,female,0.95668256
SRR1177746,male,0.95330936
ERR752518,female,0.99817216
SRR1521442,male,0.99563915
SRR1422069,female,0.842206
SRR1216054,male,0.99685127
SRR1193106,male,0.9999941
SRR897465,male,0.9983667
ERR532560,male,0.99731207
SRR897466,male,0.99840194
SRR191642,female,0.99998397
ERR752862,male,0.9566247
SRR2052760,male,0.9945029
SRR1268063,female,0.9994513
SRR897448,male,0.99871224
SRR898225,male,0.993039
SRR833724,female,0.9941188
SRR396909,male,0.99986994
SRR396955,male,0.9981186
SRR400342,male,0.9993253
SRR1313132,female,0.99334306
SRR1042023,male,0.93480027
SRR1313205,female,0.99966973
SRR1781564,female,0.7432045
SRR633596,male,0.93063337
SRR1203132,female,0.8944728
SRR363693,male,0.57751197
SRR2052737,male,0.9937825
SRR959610,male,0.6105554
SRR897825,male,0.9993752
SRR1213702,male,0.9993954
SRR897938,male,0.9953634
SRR1268078,female,0.9983736
ERR752618,male,0.9556371
SRR1652909,female,0.99997824
SRR2087361,female,0.9998277
SRR514127,male,0.9920163
SRR897192,male,0.990493
SRR191663,male,0.98389244
SRR222175,male,0.9562563
SRR358998,male,0.9982174
SRR2443213,female,0.99870145
SRR537115,male,0.99324304
SRR897624,male,0.997028
SRR1521377,male,0.99011105
SRR2313082,female,0.8224577
SRR975559,male,0.9997013
SRR1101236,male,0.904174
ERR315405,male,0.95303106
SRR830976,male,0.93995476
SRR2506771,female,0.9944254
SRR2049607,male,0.9892478
SRR2052691,male,0.9776619
SRR1186058,female,0.99999726
SRR897240,male,0.995609
SRR948096,male,0.99827653
SRR514142,male,0.9957555
SRR2037299,male,0.99960506
SRR801697,female,0.99871767
SRR1313136,female,0.9963924
SRR896679,male,0.99876165
ERR833235,male,0.99118966
SRR1553145,female,0.99904525
SRR1026991,female,0.99660224
SRR1313225,female,0.9948303
SRR897285,male,0.98684394
SRR1216041,male,0.9942835
SRR926691,male,0.99983263
DRR014114,male,0.99851197
SRR2954768,female,0.99836385
SRR1663246,male,0.9972329
SRR1265897,male,0.99985206
DRR014029,female,0.53322756
SRR1177711,female,0.71308804
SRR959593,male,0.5915337
SRR868880,female,0.9999682
SRR896802,male,0.9918603
SRR1663257,male,0.99291754
SRR896717,male,0.99856156
SRR1656635,male,0.99980813
ERR315417,female,0.99977463
SRR1313207,female,0.9993824
SRR1067993,male,0.9732194
SRR797089,female,0.99997026
SRR363762,male,0.9993032
SRR2926032,male,0.99098223
SRR898257,male,0.998932
ERR752650,male,0.9436973
ERR560453,male,0.9999558
ERR752559,female,0.99902153
SRR896681,male,0.9993391
ERR752600,male,0.96185046
SRR786623,female,0.9943528
DRR006387,male,0.98899525
SRR2052758,male,0.98011035
