,sex,sex_confi
SRR611065,female,0.9997698
SRR2138384,female,0.99723405
SRR898440,male,0.99331826
SRR898262,male,0.99920285
SRR1265593,male,0.9824182
SRR959639,male,0.6218536
SRR797088,female,0.9658807
SRR1286925,male,0.99782115
SRR1663225,male,0.98564947
SRR1768881,male,0.88340485
SRR1268072,female,0.9996687
ERR752784,male,0.95551884
SRR1265603,male,0.98707837
SRR2052807,female,0.9998315
SRR1768840,male,0.99936754
SRR2954791,male,0.87170905
SRR1785266,female,0.9993952
SRR903114,male,0.9933244
SRR2049604,female,0.99924314
SRR926660,male,0.9957417
SRR628582,male,0.9999922
SRR396957,male,0.9976075
SRR2759006,female,0.81395924
SRR2049691,female,0.9996252
SRR397214,male,0.94382966
SRR903290,male,0.993498
SRR1663271,female,0.8040654
SRR896956,male,0.9915002
SRR1146156,female,0.99997103
SRR1663280,male,0.9998004
SRR898397,male,0.99701005
SRR1781568,male,0.92049104
SRR897876,male,0.99192584
SRR922459,male,0.9885276
SRR897699,male,0.98561877
SRR650184,male,0.974154
SRR1617459,female,0.9791833
SRR868856,female,0.9981953
ERR833223,female,0.9971512
SRR2443149,female,0.99918044
SRR349746,female,0.9437394
SRR926688,male,0.9999088
SRR898158,male,0.9898515
SRR1216080,male,0.99679154
SRR1652901,male,0.8854086
ERR752583,male,0.9370947
SRR903312,male,0.9974219
SRR1067999,male,0.9541849
SRR423960,male,0.9984641
SRR897981,male,0.9966669
SRR897065,male,0.99480057
SRR2052749,male,0.99601907
ERR649030,male,0.96896493
SRR898382,male,0.99577063
SRR1617463,male,0.9969805
SRR278176,male,0.9997505
SRR959594,male,0.5969862
SRR278175,male,0.99673176
SRR934366,female,0.9985151
SRR1265498,male,0.99816865
SRR1760946,female,0.80718887
SRR2087310,male,0.9944531
SRR942550,female,0.61006355
ERR752761,male,0.93726635
DRR014033,male,0.9951194
SRR2506949,male,0.9941993
SRR897220,male,0.99554414
SRR831036,male,0.8234932
SRR1583599,female,0.99578536
ERR649026,female,0.99750566
SRR1146215,female,0.9999898
SRR2049786,male,0.9895034
SRR975583,male,0.98498076
SRR1204657,male,0.9993278
ERR649037,male,0.8615433
SRR1216012,male,0.99860543
SRR628319,male,0.9936894
SRR897596,male,0.9963981
SRR1521432,female,0.999955
ERR752713,female,0.9984072
SRR2049768,female,0.99978673
SRR1265661,male,0.98674124
SRR1652922,female,0.945574
SRR897654,male,0.9940978
SRR611066,female,0.51086205
ERR519478,male,0.94884026
SRR2443238,female,0.9997648
ERR532574,male,0.99993485
SRR2052688,male,0.99130136
SRR2049679,female,0.99991
ERR532590,male,0.9998986
SRR1177723,female,0.98604834
ERR035535,female,0.99145806
SRR1169867,male,0.99434596
SRR1265665,male,0.97366536
SRR1561681,female,0.7631537
ERR752623,male,0.96316814
SRR1721284,male,0.9403343
SRR2040358,female,0.99980557
SRR1216072,male,0.9962629
SRR479062,female,0.9961238
SRR801424,male,0.9981049
SRR2052782,female,0.9970915
SRR1373463,female,0.9997281
SRR1693449,male,0.9982358
SRR649550,male,0.99985254
SRR1026906,male,0.94678193
SRR1201800,female,0.5142104
SRR2443235,male,0.989137
SRR896889,male,0.9948765
SRR1042027,male,0.97670203
SRR1216011,male,0.9965358
SRR2037290,male,0.9999424
SRR1693618,male,0.99474764
SRR896801,male,0.989216
SRR898010,male,0.9921382
SRR896968,male,0.9896022
SRR1785244,female,0.99422836
SRR1036506,female,0.996832
SRR1663254,male,0.99927866
SRR363763,male,0.9993597
ERR532549,male,0.9998897
SRR1146142,female,0.9993699
SRR988502,female,0.99965066
ERR532555,male,0.9999296
SRR2040372,female,0.9962455
SRR948493,male,0.9995591
SRR363759,male,0.98675346
SRR534303,female,0.8382819
SRR1639273,male,0.9966227
SRR191649,female,0.99997604
SRR1204658,male,0.67851686
SRR2049603,female,0.9998986
