run_accession,ADRENAL GLAND,BONE MARROW,BRAIN,BREAST,ESOPHAGUS,KIDNEY,LIVER,LUNG,OVARY,PANCREAS,PROSTATE,SKIN,STOMACH,TESTIS,THYROID,UTERUS,predicted,MetaSRA
SRR1583602,5.353983e-06,3.1741937e-08,1.3345366e-10,3.5900728e-05,9.235291e-05,0.005268678,0.00022545937,0.01787274,2.6839294e-05,0.00070386654,0.00040204133,2.899134e-07,0.9751668,2.2164431e-06,7.818896e-05,0.00011924008,STOMACH,LUNG
SRR1265104,0.07068167,0.0066996133,0.0027801783,0.007295653,0.24129905,0.02226018,0.003922234,0.060708396,0.19284,0.027894659,0.086450554,0.0006009464,0.17600042,0.028044766,0.015991714,0.05652999,ESOPHAGUS,STOMACH
SRR1265114,0.015812023,0.0005281592,0.7226372,0.0022256423,0.016254568,0.002034977,0.0003870472,0.0019809306,0.06007325,0.024927719,0.007728931,0.00074932945,0.12568577,0.0022929218,0.010519825,0.006161639,BRAIN,STOMACH
SRR1265883,0.002471388,0.00021893563,7.2844545e-05,0.00012818557,0.16855827,0.06598465,0.00090946216,0.009960981,0.052694384,0.006254529,0.5602513,0.00013645178,0.08751686,0.0018453221,0.02515199,0.017844414,PROSTATE,STOMACH
SRR1427488,1.4929431e-07,9.613684e-09,6.43586e-12,0.84563255,5.686286e-07,2.798337e-05,0.1541366,2.11412e-08,3.4805216e-05,8.980287e-06,0.00012559193,6.537586e-08,3.1310046e-05,5.420751e-07,1.6431468e-08,7.7247313e-07,BREAST,LIVER
SRR332266,8.945647e-09,6.432845e-09,3.3885056e-10,2.1349578e-09,1.7796177e-08,3.0511547e-08,7.3791484e-09,1.0580424e-09,6.93995e-10,2.5019193e-09,0.9999999,3.2279073e-09,5.1772147e-09,1.8940751e-08,4.4374993e-08,2.640805e-09,PROSTATE,BONE MARROW
SRR332267,1.9846062e-05,4.9185754e-05,2.8536915e-06,3.5582045e-05,7.270127e-05,0.00029169026,2.0343821e-05,7.13494e-06,4.032918e-06,3.592588e-05,0.99934417,1.4869216e-05,1.3213117e-05,1.9095694e-05,5.769233e-05,1.1639791e-05,PROSTATE,BONE MARROW
SRR332268,6.568831e-07,2.1049293e-07,3.5591688e-10,8.272764e-09,1.618312e-05,0.94424796,2.322576e-06,1.5736474e-05,1.07079714e-07,2.4199153e-06,0.055708796,3.9947e-06,5.9071544e-07,1.4445902e-07,1.6970117e-07,7.095585e-07,KIDNEY,BONE MARROW
SRR332269,1.5849344e-07,7.669952e-08,4.190626e-09,2.3954339e-08,3.9246544e-07,5.8307063e-07,1.0973609e-07,2.858654e-08,3.9715363e-08,7.4627266e-08,0.99999714,1.3839067e-07,2.7919955e-07,1.4834683e-07,7.228224e-07,1.1023705e-07,PROSTATE,BONE MARROW
SRR332270,2.745156e-07,9.194376e-08,1.1826534e-09,8.768383e-08,2.8320346e-07,4.9681813e-07,9.978553e-08,3.1480106e-08,5.3415118e-08,1.8955299e-07,0.99999666,2.009512e-07,2.1184576e-07,2.3936485e-07,8.494179e-07,1.9451687e-07,PROSTATE,BONE MARROW
SRR332271,2.4984577e-06,9.97678e-07,2.133461e-07,8.230855e-07,2.5860306e-06,4.1615494e-06,1.4331325e-06,2.882966e-07,3.5638263e-07,1.1433439e-06,0.99997187,2.6986572e-06,2.2968366e-06,2.7235244e-06,4.5956695e-06,1.241023e-06,PROSTATE,BONE MARROW
SRR332272,3.920692e-08,3.7639754e-08,1.7572176e-09,1.4594607e-08,9.624137e-07,4.5429495e-08,1.5579678e-08,5.4291336e-09,5.1151556e-08,1.8938229e-08,0.99999833,3.3264644e-08,4.334896e-08,2.6915203e-07,1.13201594e-07,1.7188551e-08,PROSTATE,BONE MARROW
SRR332273,1.6990396e-07,2.2963307e-07,2.556929e-09,1.3740517e-07,6.723639e-07,6.081997e-06,2.4572e-07,5.7804478e-08,3.7512496e-08,3.849142e-07,0.9999896,3.4016733e-07,3.8322307e-07,3.0929522e-07,9.070609e-07,3.7328942e-07,PROSTATE,BONE MARROW
SRR1179855,9.778946e-06,0.0008682583,0.0004893557,5.122487e-07,0.000162254,9.718163e-06,9.035116e-06,1.5874134e-08,0.986272,4.0910913e-06,0.0006168522,3.8349212e-06,1.7086276e-06,0.00033692687,2.2862591e-06,0.011213387,OVARY,KIDNEY
SRR1179856,8.607164e-06,0.00066091045,0.00045918496,6.879886e-07,0.00016125073,1.1264519e-05,6.6526172e-06,1.8836124e-08,0.98428196,2.896797e-06,0.00042887978,2.4964309e-06,1.4530145e-06,0.00020412423,1.3238014e-06,0.013768194,OVARY,KIDNEY
SRR2016701,2.2542079e-06,0.00029983002,3.764349e-06,3.9583315e-07,0.0001465134,1.2174951e-06,1.958021e-06,3.3979013e-08,0.99522996,1.4456437e-07,8.207194e-06,1.7153426e-06,6.4140966e-07,4.4902183e-05,1.3710883e-07,0.0042582955,OVARY,SKIN
SRR2016704,3.038989e-06,0.00028369858,3.4492264e-06,5.8029e-07,0.00026705337,1.8555347e-06,2.1995738e-06,5.5714132e-08,0.99477947,2.6055687e-07,6.3517987e-06,1.6324379e-06,1.2442642e-06,5.1281822e-05,2.040447e-07,0.0045976797,OVARY,SKIN
SRR2016711,4.1925864e-06,0.00026671158,4.4558274e-06,6.3116545e-07,0.00027036943,1.5991291e-06,1.7041758e-06,6.154198e-08,0.99444205,1.710359e-07,8.005213e-06,1.8169756e-06,8.367909e-07,9.244359e-05,1.2887955e-07,0.0049047563,OVARY,SKIN
SRR2016741,3.4721254e-06,0.00017123528,7.0561136e-06,5.846564e-07,0.00022964983,1.6803525e-06,1.2306848e-06,2.1195245e-08,0.99618113,1.3177817e-07,1.022301e-05,9.76399e-07,7.520522e-07,5.023929e-05,7.716092e-08,0.0033416117,OVARY,SKIN
SRR2016807,7.449032e-06,0.00037915542,2.3993407e-05,1.9950744e-06,0.00046122776,3.1345915e-06,1.8713145e-06,5.7265385e-08,0.99170715,4.3694965e-07,2.227022e-05,2.2838092e-06,1.7961244e-06,0.000112773865,2.1408523e-07,0.007274111,OVARY,SKIN
SRR2016810,8.383096e-06,0.00051561074,3.2314212e-05,1.7980447e-06,0.0003948436,4.1814724e-06,2.0675761e-06,4.6446203e-08,0.99240583,2.6222855e-07,2.2738599e-05,3.501997e-06,1.6076029e-06,0.00011826294,1.839476e-07,0.006488379,OVARY,SKIN
SRR2414435,1.3870557e-07,4.5481494e-07,9.984424e-12,1.15103624e-07,1.2897513e-05,0.021331098,1.3940696e-07,1.1385033e-07,7.8846824e-05,4.896292e-06,0.97850513,2.8094439e-08,2.427229e-06,6.6873366e-07,1.209346e-06,6.173232e-05,PROSTATE,UTERUS
SRR2414418,1.6379403e-07,6.1316325e-09,8.406936e-12,5.2478714e-05,1.2203074e-06,0.009723259,9.537957e-09,6.87959e-07,2.6218708e-05,6.6329056e-07,0.880238,1.8672919e-06,4.874298e-06,2.6128856e-08,4.387607e-06,0.1099461,PROSTATE,UTERUS
SRR2013436,8.602156e-06,0.0001042615,1.0943696e-06,1.1102119e-05,0.03521592,7.807303e-06,9.17575e-06,5.6053153e-07,0.9515207,4.6402847e-06,0.0060447706,1.2259421e-06,0.00010762334,9.09666e-05,2.5972458e-06,0.006869093,OVARY,PROSTATE
SRR2013435,3.7320617e-06,5.4876724e-05,4.6193293e-07,1.2024769e-05,0.020956565,4.581295e-06,5.629809e-06,2.602137e-07,0.97217584,2.2616505e-06,0.0020344416,3.480972e-07,5.358874e-05,4.8663216e-05,8.9573575e-07,0.0046458757,OVARY,PROSTATE
SRR2013434,4.024318e-06,6.180186e-05,4.0063566e-07,4.937648e-06,0.037216857,4.335854e-06,3.9627735e-06,2.0191541e-07,0.9520213,1.8968389e-06,0.007742861,7.738548e-07,4.0397204e-05,5.098549e-05,8.082596e-07,0.0028445518,OVARY,PROSTATE
SRR2013433,2.1896424e-06,3.3407152e-05,2.0715176e-07,2.471354e-06,0.036720667,2.8490613e-06,2.5231343e-06,1.3597528e-07,0.9560614,1.1584693e-06,0.0042899647,3.98405e-07,3.2288663e-05,2.8608054e-05,3.8301155e-07,0.0028214345,OVARY,PROSTATE
SRR2121907,0.066620976,0.06353906,0.06573639,0.061607324,0.066746525,0.06917519,0.05289827,0.05694858,0.058416657,0.06451911,0.06669438,0.060349163,0.06354732,0.067356646,0.0572247,0.058619723,KIDNEY,BRAIN
SRR2121909,0.060118895,0.06363536,0.07388534,0.07420139,0.06675852,0.057489026,0.056769237,0.054271974,0.06740734,0.061531708,0.059256736,0.06562338,0.05970165,0.05919966,0.05622714,0.063922636,BREAST,BRAIN
SRR2121908,0.06249972,0.063554294,0.061231732,0.06398768,0.06293825,0.061793018,0.05876663,0.060902312,0.0649944,0.06348486,0.06451804,0.06235811,0.060748555,0.062365808,0.061488193,0.06436839,OVARY,BRAIN
SRR2995147,1.3404869e-05,8.019052e-06,6.459587e-07,4.483154e-06,0.00823678,5.809132e-05,7.150372e-05,8.4930406e-07,0.98998815,2.1331467e-05,3.7543294e-05,1.5855238e-07,0.00021109375,3.073454e-05,4.233746e-08,0.0013170606,OVARY,LUNG
SRR1207372,0.001552329,0.0048879096,0.00030496618,0.0062812963,0.11709085,0.008490217,0.00528442,0.038928084,0.47592136,0.004367579,0.00550393,0.0021857552,0.0055147144,0.005887997,0.0035697964,0.31422883,OVARY,LUNG
SRR946925,0.00042626745,0.0011252827,0.26385742,0.0024883626,0.0014415073,0.0018256025,0.00022797518,3.9421637e-05,0.0011613409,0.0030395791,0.5812361,0.1397344,0.001200455,0.0019199962,5.1563362e-05,0.00022473397,PROSTATE,LIVER
SRR1284895,0.0028916944,0.0122666545,0.011897345,0.0019589933,0.0161736,0.006451492,0.0043623433,0.0001319765,0.45662695,0.00251155,0.035488386,0.0026853634,0.0019313819,0.0064248294,0.0014333039,0.43676406,OVARY,KIDNEY
SRR1313203,4.464311e-26,2.8737134e-26,1.12932734e-26,1.0058183e-24,2.6511106e-24,2.5130945999999998e-18,1.0,2.3381722e-29,1.3088843999999999e-25,1.7712316e-21,4.7844297e-26,9.669898000000001e-27,2.722331e-21,2.9672687e-24,3.6367313e-28,2.0510883e-26,LIVER,BREAST
SRR786786,2.3217281e-09,1.2400514e-07,3.1574805e-13,5.090467e-06,9.758216e-11,4.4451416e-09,3.327586e-10,7.784558e-11,0.2621364,1.4517958e-08,9.422539e-06,1.6052423e-08,1.4101373e-09,0.73784107,3.6845684e-09,7.843927e-06,TESTIS,OVARY
